MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err
58857.05000000018	3.263601733453066e-15	1.301776390090944e-16	2.040133834899009e-15	2.117964778597338e-16
58857.10000000018	3.334941102696599e-15	1.4017641533728455e-16	2.0976512827955064e-15	2.1633003997694443e-16
58857.15000000018	3.407147775763982e-15	1.4968422237016232e-16	2.155404885645269e-15	2.2070753211518349e-16
58857.200000000186	3.4802289268573935e-15	1.5868970430372735e-16	2.21339024159414e-15	2.2492936835557724e-16
58857.25000000019	3.554191802299949e-15	1.6718301431730462e-16	2.271602954915179e-15	2.2899599241619226e-16
58857.30000000019	3.629043721041245e-15	1.7515553196355017e-16	2.330038635872217e-15	2.329078775569444e-16
58857.350000000195	3.704792075168662e-15	1.82599680838649e-16	2.3886929005845188e-15	2.366655265446527e-16
58857.4000000002	3.781444330421782e-15	1.8950880671507816e-16	2.4475613708903254e-15	2.4026947166719654e-16
58857.4500000002	3.859008026714032e-15	1.958770935954403e-16	2.5066396742120073e-15	2.4372027479017695e-16
58857.500000000204	3.937490778656787e-15	2.0169950442623634e-16	2.565923443419948e-15	2.4701852744952285e-16
58857.55000000021	4.016900276089904e-15	2.069717384099494e-16	2.6254083166972087e-15	2.5016485097530204e-16
58857.60000000021	4.097244284616537e-15	2.1169019986680314e-16	2.6850899374044615e-15	2.531598966426073e-16
58857.65000000021	4.178530646143332e-15	2.1585197540978712e-16	2.744963953944639e-15	2.560043458462344e-16
58857.700000000215	4.260767279425211e-15	2.1945481731139876e-16	2.8050260196278096e-15	2.586989102966346e-16
58857.75000000022	4.3439621806150276e-15	2.224971316518505e-16	2.865271792536208e-15	2.6124433223420075e-16
58857.80000000022	4.428123423819125e-15	2.2497797030158994e-16	2.925696935389241e-15	2.6364138466067856e-16
58857.850000000224	4.513259161656911e-15	2.2689702610094586e-16	2.986297115409014e-15	2.658908715848641e-16
58857.90000000023	4.5993776258267505e-15	2.2825463081865684e-16	3.0470680041851138e-15	2.6799362828223554e-16
58857.95000000023	4.686487127675391e-15	2.2905175562472826e-16	3.108005277540427e-15	2.699505215656991e-16
58858.00000000023	4.774596058774667e-15	2.292900139337971e-16	3.1691046153963242e-15	2.7176245006708755e-16
58858.050000000236	4.863712891501274e-15	2.2897166657032456e-16	3.230361701638332e-15	2.7343034452736644e-16
58858.10000000024	4.953846179623489e-15	2.280996292947862e-16	3.2917722239817398e-15	2.7495516809463513e-16
58858.15000000024	5.0450045588923435e-15	2.266774828095355e-16	3.353331873837159e-15	2.7633791662782325e-16
58858.200000000244	5.137196747638408e-15	2.247094854548629e-16	3.4150363461765646e-15	2.775796190055936e-16
58858.25000000025	5.230431547373633e-15	2.222005889032671e-16	3.4768813393989294e-15	2.786813374378571e-16
58858.30000000025	5.324717843399173e-15	2.1915645728693268e-16	3.5388625551960718e-15	2.796441677789855e-16
58858.35000000025	5.420064605418152e-15	2.1558349034976316e-16	3.600975698418946e-15	2.804692398400344e-16
58858.400000000256	5.516480888154102e-15	2.1148885142894197e-16	3.663216476943265e-15	2.811577176991959e-16
58858.45000000026	5.613975831974674e-15	2.0688050135891596e-16	3.725580601536071e-15	2.8171080000664674e-16
58858.50000000026	5.712558663521724e-15	2.0176723979398377e-16	3.788063785721397e-15	2.8212972028254243e-16
58858.550000000265	5.8122386963458e-15	1.9615875602257992e-16	3.850661745646866e-15	2.8241574720470095e-16
58858.60000000027	5.913025331547125e-15	1.9006569218088418e-16	3.9133701999496335e-15	2.82570184883034e-16
58858.65000000027	6.014928058422042e-15	1.8349972301444122e-16	3.976184869622997e-15	2.82594373116819e-16
58858.70000000027	6.117956455115234e-15	1.764736582064099e-16	4.039101477882594e-15	2.8248968763160846e-16
58858.75000000028	6.222120189277143e-15	1.6900157618126189e-16	4.102115750032659e-15	2.8225754029014676e-16
58858.80000000028	6.327429018728176e-15	1.6109900285176139e-16	4.1652234133327484e-15	2.818993792732906e-16
58858.85000000028	6.433892792127929e-15	1.5278315615474866e-16	4.228420196864017e-15	2.8141668922439886e-16
58858.900000000285	6.541521449650514e-15	1.4407328947877768e-16	4.291701831395607e-15	2.808109913512839e-16
58858.95000000029	6.650325023665961e-15	1.3499118807037018e-16	4.355064049251435e-15	2.800838434781892e-16
58859.00000000029	6.760313639427484e-15	1.2556190961721362e-16	4.418502584176707e-15	2.792368400393249e-16
58859.050000000294	6.871497515764698e-15	1.1581492826937368e-16	4.482013171204183e-15	2.7827161200546043e-16
58859.1000000003	6.983886965782782e-15	1.0578597132160487e-16	4.545591546521307e-15	2.7718982673200304e-16
58859.1500000003	7.097492397568048e-15	9.552009725163604e-17	4.6092334473362206e-15	2.7599318771778694e-16
58859.2000000003	7.21232431489904e-15	8.507710771018612e-17	4.6729346117449855e-15	2.746834342603977e-16
58859.250000000306	7.328393317964767e-15	7.454158624237009e-17	4.736690778597749e-15	2.732623409934259e-16
58859.30000000031	7.44571010408827e-15	6.404263775285018e-17	4.800497687365673e-15	2.7173171728832753e-16
58859.35000000031	7.564285468456573e-15	5.3795048340025756e-17	4.864351078007683e-15	2.7009340650179577e-16
58859.400000000314	7.684130304857452e-15	4.4188797923363156e-17	4.9282466908366e-15	2.6834928504654747e-16
58859.45000000032	7.805255606421793e-15	3.597698399052376e-17	4.9921802663865774e-15	2.665012612612598e-16
58859.50000000032	7.927672466373165e-15	3.0547133801648e-17	5.056147545279191e-15	2.645512740514312e-16
58859.55000000032	8.051391428713727e-15	2.9661401941070575e-17	5.120144268090244e-15	2.625012912695784e-16
58859.600000000326	8.176397867379588e-15	3.3508737045811196e-17	5.184166175216502e-15	2.603533077991564e-16
58859.65000000033	8.302644427531397e-15	4.029895557615134e-17	5.2482090067423606e-15	2.5810934330144875e-16
58859.70000000033	8.430081655780703e-15	4.8405570211295466e-17	5.312268502306283e-15	2.5577143957946254e-16
58859.750000000335	8.558660189445462e-15	5.692208540928416e-17	5.376340400967472e-15	2.53341657506449e-16
58859.80000000034	8.688330751825286e-15	6.538929229066235e-17	5.4404204410727144e-15	2.508220734597341e-16
58859.85000000034	8.819044147481747e-15	7.356477736784644e-17	5.504504360122625e-15	2.482147751922545e-16
58859.90000000034	8.950751257523909e-15	8.131062728939238e-17	5.568587894638256e-15	2.455218570648237e-16
58859.950000000346	9.083403034898896e-15	8.854236540263004e-17	5.63266675046398e-15	2.42745401599535e-16
58860.00000000035	9.21695049968681e-15	9.5204919239487e-17	5.696734344834608e-15	2.3988648448124944e-16
58860.05000000035	9.351344734399429e-15	1.0126064035465389e-16	5.760780216298689e-15	2.369444766846273e-16
58860.100000000355	9.486536879283174e-15	1.0668297433358861e-16	5.82479352608022e-15	2.33918584360519e-16
58860.15000000036	9.622478127625516e-15	1.114529361510992e-16	5.88876343332821e-15	2.3080802048697597e-16
58860.20000000036	9.759119721064367e-15	1.1555705772450265e-16	5.95267909479733e-15	2.276120117012096e-16
58860.250000000364	9.896412944900388e-15	1.1898614871556057e-16	6.01652966452786e-15	2.2432980485686733e-16
58860.30000000037	1.0034309123411504e-14	1.217345286103563e-16	6.080304293526218e-15	2.2096067333728175e-16
58860.35000000037	1.0172759615170768e-14	1.2379954492106455e-16	6.143992129445024e-15	2.1750392315479776e-16
58860.40000000037	1.0311715808364109e-14	1.2518127375145107e-16	6.207582316263354e-15	2.1395889886979243e-16
58860.450000000375	1.0451129116111775e-14	1.2588234325181512e-16	6.27106399396658e-15	2.1032498936655638e-16
58860.50000000038	1.0590950971789357e-14	1.2590784580618064e-16	6.334426298226554e-15	2.0660163352522944e-16
58860.55000000038	1.0731132824350656e-14	1.2526532019895463e-16	6.397658360080987e-15	2.027883258355375e-16
58860.600000000384	1.087162613365043e-14	1.2396479526737476e-16	6.460749305613735e-15	1.9888462200293433e-16
58860.65000000039	1.1012382365768356e-14	1.2201889439457268e-16	6.523688255634055e-15	1.9489014460628078e-16
58860.70000000039	1.1153352988331858e-14	1.19443007446357e-16	6.586464325356126e-15	1.9080458887567156e-16
58860.75000000039	1.1294489465838993e-14	1.1625554492747122e-16	6.649066624078404e-15	1.866277286717573e-16
58860.800000000396	1.1435743254980996e-14	1.1247829993970203e-16	6.711484254863161e-15	1.8235942276484684e-16
58860.8500000004	1.157706579996323e-14	1.081369593847504e-16	6.773706314215014e-15	1.7799962153159537e-16
58860.9000000004	1.1718408527824687e-14	1.032618306415784e-16	6.835721891760281e-15	1.7354837421725366e-16
58860.950000000405	1.1859722843756472e-14	9.788889030866147e-17	6.8975200699256444e-15	1.6900583694490978e-16
58861.00000000041	1.2000960126417614e-14	9.206132930695275e-17	6.959089923616833e-15	1.6437228170209824e-16
58861.05000000041	1.2142071723248963e-14	8.583188487576306e-17	7.020420519896769e-15	1.5964810659923783e-16
58861.10000000041	1.2283008945783835e-14	7.926645288040373e-17	7.081500917664217e-15	1.5483384777789072e-16
58861.150000000416	1.2423723064956714e-14	7.244982962359732e-17	7.142320167331814e-15	1.4993019346347768e-16
58861.20000000042	1.2564165306407401e-14	6.549504327157473e-17	7.202867310503703e-15	1.4493800081419476e-16
58861.25000000042	1.2704286845782358e-14	5.855869611725862e-17	7.26313137965341e-15	1.3985831643739482e-16
58861.300000000425	1.2844038804031908e-14	5.186582278224077e-17	7.323101397801565e-15	1.3469240174721776e-16
58861.35000000043	1.2983372242702865e-14	4.5747016869104175e-17	7.382766378192642e-15	1.2944176477308805e-16
58861.40000000043	1.312223815922722e-14	4.0679861201993546e-17	7.442115323972611e-15	1.2410820064499751e-16
58861.450000000434	1.3260587482204697e-14	3.7286875853400266e-17	7.50113722786538e-15	1.186938438859057e-16
58861.50000000044	1.3398369919667505e-14	3.617373168568539e-17	7.559821071849636e-15	1.1320123697349756e-16
58861.55000000044	1.3535490510800654e-14	3.7358098809859445e-17	7.61815582683497e-15	1.0763342163351777e-16
58861.60000000044	1.367179628290087e-14	4.014265278615169e-17	7.676130452338412e-15	1.0199406238696094e-16
58861.650000000445	1.3807130290719169e-14	4.3759428182262334e-17	7.733733896159769e-15	9.628761663604165e-17
58861.70000000045	1.3941335473163368e-14	4.761142888274304e-17	7.790955094057856e-15	9.051957314977227e-17
58861.75000000045	1.4074254638816467e-14	5.1294664597907775e-17	7.847782969425242e-15	8.469679311524218e-17
58861.800000000454	1.4205730451445938e-14	5.454822820928215e-17	7.90420643296374e-15	7.882800838893567e-17
58861.85000000046	1.433560541550275e-14	5.7205080163911e-17	7.960214382359121e-15	7.292456645712293e-17
58861.90000000046	1.4463721861608135e-14	5.915910520289246e-17	8.015795701955428e-15	6.700157253885813e-17
58861.95000000046	1.458992193202819e-14	6.034579395744609e-17	8.070939262429449e-15	6.107968829456227e-17
58862.000000000466	1.47140475661362e-14	6.073199465261232e-17	8.125633920464471e-15	5.5188045809165776e-17
58862.05000000047	1.4835940485858493e-14	6.031174291050747e-17	8.179868518423933e-15	4.9369103575731723e-17
58862.10000000047	1.4955442181106337e-14	5.910683882240123e-17	8.233631884024728e-15	4.36869426760193e-17
58862.150000000474	1.5072393895191186e-14	5.717221746264921e-17	8.286912830010204e-15	3.824163490875463e-17
58862.20000000048	1.5186636610222314e-14	5.460747546683962e-17	8.339700153822556e-15	3.319370392729104e-17
58862.25000000048	1.5298011032485892e-14	5.1577319300184685e-17	8.391982637275589e-15	2.8801724264866684e-17
58862.30000000048	1.540635757780456e-14	4.834458215346691e-17	8.44374904622619e-15	2.5460835104818644e-17
58862.350000000486	1.551151635687764e-14	4.5316417432121015e-17	8.494988130246304e-15	2.3675301134575347e-17
58862.40000000049	1.561332716059856e-14	4.3086932019891345e-17	8.545688953337814e-15	2.384357517307221e-17
58862.45000000049	1.5711629445350777e-14	4.2414572684235486e-17	8.59584551597578e-15	2.5899189976901105e-17
58862.500000000495	1.5806264554891496e-14	4.4034353520239827e-17	8.645455614663182e-15	2.937650562855319e-17
58862.5500000005	1.5897160418045992e-14	4.8152937170098707e-17	8.694517126803897e-15	3.377400051939428e-17
58862.6000000005	1.5984357542868443e-14	5.434676066289357e-17	8.743027912545938e-15	3.872115382364722e-17
58862.6500000005	1.6067903618962023e-14	6.208019780005896e-17	8.79098581471116e-15	4.398053584722167e-17
58862.70000000051	1.6147845973042754e-14	7.090008998815986e-17	8.838388658724208e-15	4.940522952745153e-17
58862.75000000051	1.6224231573049354e-14	8.047373972367882e-17	8.885234252541437e-15	5.49032033991309e-17
58862.80000000051	1.6297107032227017e-14	9.05674348750978e-17	8.931520386579695e-15	6.041501056385794e-17
58862.850000000515	1.63665186131874e-14	1.0101644201589817e-16	8.977244833643962e-15	6.590082715734814e-17
58862.90000000052	1.6432512231943223e-14	1.1170169717265767e-16	9.02240534885539e-15	7.13329728089567e-17
58862.95000000052	1.6495133461919486e-14	1.2253421855465218e-16	9.066999669578468e-15	7.66915184022132e-17
58863.000000000524	1.6554427537939496e-14	1.3344514409902773e-16	9.111025515347963e-15	8.196163813539766e-17
58863.05000000053	1.6610439360188372e-14	1.4437939925652766e-16	9.154480587795601e-15	8.713196693377231e-17
58863.10000000053	1.6663213498152473e-14	1.552916253833117e-16	9.197362570575816e-15	9.219355250445688e-17
58863.15000000053	1.6712794194535574e-14	1.6614351127486658e-16	9.239669129292032e-15	9.71391688230733e-17
58863.200000000536	1.6759225369152468e-14	1.7690200514633595e-16	9.281397911421595e-15	1.0196285523728291e-16
58863.25000000054	1.6802550622799497e-14	1.8753808864754152e-16	9.322546546240867e-15	1.06659599999362e-16
58863.30000000054	1.6842813241103155e-14	1.980259168152942e-16	9.363112644749926e-15	1.112251184504089e-16
58863.350000000544	1.6880056198345916e-14	2.0834220123522394e-16	9.403093799596373e-15	1.156556945895805e-16
58863.40000000055	1.6914322161270566e-14	2.184657581774546e-16	9.44248758499945e-15	1.1994806594886683e-16
58863.45000000055	1.6945653492863213e-14	2.283771708791866e-16	9.481291556673123e-15	1.2409933859930036e-16
58863.50000000055	1.697409225611409e-14	2.3805853232511396e-16	9.51950325174931e-15	1.2810692348162322e-16
58863.550000000556	1.6999680217757717e-14	2.474932458363278e-16	9.557120188699987e-15	1.319684880667416e-16
58863.60000000056	1.7022458851992316e-14	2.566658678956398e-16	9.594139867259632e-15	1.3568191919404097e-16
58863.65000000056	1.704246934417836e-14	2.655619823457589e-16	9.63055976834682e-15	1.3924529417400426e-16
58863.700000000565	1.7059752594516867e-14	2.741680982540931e-16	9.666377353985707e-15	1.4265685807508538e-16
58863.75000000057	1.7074349221707268e-14	2.824715658989485e-16	9.701590067226709e-15	1.459150056942735e-16
58863.80000000057	1.708629956658592e-14	2.904605068268379e-16	9.73619533206688e-15	1.4901826711411485e-16
58863.85000000057	1.7095643695744246e-14	2.981237549827048e-16	9.770190553370119e-15	1.519652960347006e-16
58863.900000000576	1.710242140512858e-14	3.054508066653339e-16	9.803573116787022e-15	1.5475486027330995e-16
58863.95000000058	1.7106672223619753e-14	3.12431777601438e-16	9.836340388673612e-15	1.573858339751634e-16
58864.00000000058	1.7108435416594263e-14	3.190573658280172e-16	9.868489716010447e-15	1.5985719118608344e-16
58864.050000000585	1.710774998946674e-14	3.2531881936591927e-16	9.900018426320864e-15	1.621680005184751e-16
58864.10000000059	1.7104654691214212e-14	3.312079078864243e-16	9.930923827588906e-15	1.6431742070444993e-16
58864.15000000059	1.709918801788191e-14	3.3671689773895725e-16	9.961203208177045e-15	1.663046968725841e-16
58864.200000000594	1.7091388216070705e-14	3.4183852983439346e-16	9.990853836742837e-15	1.6812915742224236e-16
58864.2500000006	1.7081293286408298e-14	3.4656599997679424e-16	1.0019872962155918e-14	1.6979021139463304e-16
58864.3000000006	1.7068940987000836e-14	3.508929413118174e-16	1.0048257813414083e-14	1.7128734625995471e-16
58864.3500000006	1.705436883686912e-14	3.5481340862128395e-16	1.0076005599559103e-14	1.7262012605763502e-16
58864.400000000605	1.703761411936702e-14	3.5832186423962346e-16	1.0103113509591902e-14	1.7378818983807258e-16
58864.45000000061	1.7018713885582908e-14	3.614131654075813e-16	1.0129578712387641e-14	1.7479125036424898e-16
58864.50000000061	1.6997704957724938e-14	3.640825529078837e-16	1.0155398356610116e-14	1.7562909304080721e-16
58864.550000000614	1.697462393249024e-14	3.6632564085414775e-16	1.0180569570625635e-14	1.763015750437303e-16
58864.60000000062	1.694950718441685e-14	3.6813840752444595e-16	1.0205089462416873e-14	1.7680862462821544e-16
58864.65000000062	1.6922390869221728e-14	3.695171871478986e-16	1.0228955119495626e-14	1.771502405994313e-16
58864.70000000062	1.6893310927121197e-14	3.7045866256849256e-16	1.0252163608815823e-14	1.77326491931127e-16
58864.750000000626	1.6862303086137056e-14	3.7095985872137514e-16	1.0274711976685464e-14	1.773375175226955e-16
58864.80000000063	1.6829402865387522e-14	3.7101813686880725e-16	1.0296597248678522e-14	1.7718352608690058e-16
58864.85000000063	1.6794645578362732e-14	3.70631189552023e-16	1.0317816429546317e-14	1.7686479616284044e-16
58864.900000000634	1.6758066336185785e-14	3.6979703622447897e-16	1.0338366503128066e-14	1.763816762515594e-16
58864.95000000064	1.6719700050859416e-14	3.6851401953909156e-16	1.0358244432261767e-14	1.75734585072723e-16
58865.00000000064	1.6679581438498224e-14	3.667808022714177e-16	1.0377447158693674e-14	1.749240119446746e-16
58865.05000000064	1.6637745022546744e-14	3.645963648665249e-16	1.0395971602988063e-14	1.7395051728942985e-16
58865.100000000646	1.6594225136983874e-14	3.619600036076071e-16	1.0413814664436077e-14	1.728147332696888e-16
58865.15000000065	1.6549055929513428e-14	3.5887132941073975e-16	1.0430973220964282e-14	1.7151736456494588e-16
58865.20000000065	1.650227136474171e-14	3.5533026726094606e-16	1.0447444129042853e-14	1.7005918929674899e-16
58865.250000000655	1.64539052273416e-14	3.513370563163232e-16	1.0463224223593093e-14	1.6844106011824016e-16
58865.30000000066	1.6403991125203405e-14	3.4689225071853464e-16	1.0478310317894607e-14	1.6666390548374922e-16
58865.35000000066	1.6352562492573736e-14	3.4199672116516697e-16	1.049269920349178e-14	1.647287311215166e-16
58865.40000000066	1.629965259318083e-14	3.3665165731995483e-16	1.0506387650100303e-14	1.626366217364188e-16
58865.45000000067	1.624529452334859e-14	3.308585711609516e-16	1.0519372405512519e-14	1.6038874297599784e-16
58865.50000000067	1.6189521215097797e-14	3.2461930140183493e-16	1.0531650195502828e-14	1.5798634370321766e-16
58865.55000000067	1.6132365439235597e-14	3.1793601916498967e-16	1.0543217723732584e-14	1.5543075862803903e-16
58865.600000000675	1.6073859808433346e-14	3.1081123514345124e-16	1.0554071671653958e-14	1.527234113642137e-16
58865.65000000068	1.6014036780293177e-14	3.0324780857088893e-16	1.0564208698413986e-14	1.4986581799434866e-16
58865.70000000068	1.5952928660402758e-14	2.9524895842786806e-16	1.0573625440757704e-14	1.468595912502059e-16
58865.750000000684	1.589056760537977e-14	2.868182774688058e-16	1.0582318512931151e-14	1.4370644544095816e-16
58865.80000000069	1.5826985625904653e-14	2.779597498737791e-16	1.0590284506583547e-14	1.4040820230507242e-16
58865.85000000069	1.5762214589743605e-14	2.686777736457647e-16	1.0597519990668959e-14	1.3696679800833203e-16
58865.90000000069	1.5696286224760383e-14	2.5897718933860234e-16	1.0604021511347724e-14	1.3338429158196145e-16
58865.950000000696	1.5629232121918366e-14	2.488633173919726e-16	1.0609785591887455e-14	1.2966287518691684e-16
58866.0000000007	1.556108373827254e-14	2.383420073999007e-16	1.0614808732562905e-14	1.2580488671947763e-16
58866.0500000007	1.5491872399951592e-14	2.27419704268186e-16	1.0619087410556283e-14	1.2181282544869682e-16
58866.100000000704	1.5421629305130006e-14	2.1610353879778518e-16	1.0622618079856068e-14	1.1768937162952252e-16
58866.15000000071	1.535038552699181e-14	2.0440145443066063e-16	1.0625397171156178e-14	1.1343741138759718e-16
58866.20000000071	1.5278172016683944e-14	1.9232238891851938e-16	1.0627421091754032e-14	1.0906006868776563e-16
58866.25000000071	1.5205019606261353e-14	1.798765417860089e-16	1.062868622544838e-14	1.0456074694933211e-16
58866.300000000716	1.5130959011623236e-14	1.6707578010669533e-16	1.0629188932436595e-14	9.994318399366396e-17
58866.35000000072	1.5056020835440316e-14	1.5393427535298956e-16	1.0628925549211468e-14	9.521152570927271e-17
58866.40000000072	1.4980235570074285e-14	1.4046954239947792e-16	1.0627892388457069e-14	9.037042644919821e-17
58866.450000000725	1.490363360048863e-14	1.2670421241242083e-16	1.062608573894513e-14	8.542518831863834e-17
58866.50000000073	1.4826245207151317e-14	1.1266922171262453e-16	1.0623501865429528e-14	8.03819582055013e-17
58866.55000000073	1.47481005689308e-14	9.840991975748209e-17	1.0620137008541362e-14	7.52480124618434e-17
58866.60000000073	1.4669229765982635e-14	8.399869386687779e-17	1.0615987384682926e-14	7.003217792497754e-17
58866.650000000736	1.458966278263062e-14	6.956360984547494e-17	1.0611049185921424e-14	6.474547074872352e-17
58866.70000000074	1.4509429510239378e-14	5.5361152127669637e-17	1.0605318579881687e-14	5.940209353745317e-17
58866.75000000074	1.4428559750080458e-14	4.198560978140467e-17	1.0598791709639286e-14	5.40210408913232e-17
58866.800000000745	1.4347083216191744e-14	3.1013129784881613e-17	1.0591464693612026e-14	4.862877347080487e-17
58866.85000000075	1.4265029538230232e-14	2.6265682673555202e-17	1.0583333625451718e-14	4.326383376380141e-17
58866.90000000075	1.4182426557666022e-14	3.107994242261902e-17	1.0574394573934767e-14	3.798509926020085e-17
