MJD,Mag,Mag_err,band,Instr
59364.323,20.457,0.171,ZTF_r,P48
59364.4,20.577,0.111,ps_r,PAN_STARRS1
59366.345,20.188,0.118,ZTF_r,P48
59368.299,20.307,0.109,ZTF_r,P48
59370.26,20.744,0.182,ZTF_r,P48
59375.243,20.375,0.14,ZTF_r,P48
59377.245,20.485,0.138,ZTF_r,P48
59377.319,20.942,0.203,ZTF_g,P48
59379.24,20.526,0.169,ZTF_r,P48
59382.27,20.86,0.221,ps_z,PAN_STARRS1
59384.27,20.473,0.224,ps_z,PAN_STARRS1
59391.3,21.191,0.223,ps_i,PAN_STARRS1
59391.3,20.933,0.191,ps_r,PAN_STARRS1
59393.224,20.824,0.179,ZTF_r,P48
59397.222,20.52,0.14,ZTF_r,P48
59402.227,20.854,0.207,ZTF_r,P48
59404.222,20.744,0.192,ZTF_r,P48
59406.245,20.739,0.212,ZTF_r,P48
