#wls	flux	flux_err
4438.6296	5.5754e-16	1.7007e-17
4444.1475	5.7226e-16	1.7116e-17
4449.6654	5.8795e-16	2.4028e-17
4455.1834	6.0755e-16	2.5101e-17
4460.7013	6.2513e-16	2.5079e-17
4466.2192	6.3925e-16	2.5407e-17
4471.7371	6.6292e-16	2.5685e-17
4477.2551	6.8472e-16	2.5347e-17
4482.7730	7.1404e-16	2.4863e-17
4488.2909	7.3572e-16	2.3018e-17
4493.8089	7.5722e-16	2.0737e-17
4499.3268	7.8045e-16	1.5304e-17
4504.8447	8.0484e-16	1.1771e-17
4510.3626	8.3299e-16	1.3590e-17
4515.8806	8.6211e-16	1.3730e-17
4521.3985	8.9280e-16	1.4731e-17
4526.9164	9.2021e-16	1.2395e-17
4532.4344	9.4821e-16	2.3066e-17
4537.9523	9.7799e-16	2.2768e-17
4543.4702	1.0040e-15	3.1417e-17
4548.9881	1.0297e-15	3.1867e-17
4554.5061	1.0552e-15	3.1916e-17
4560.0240	1.0763e-15	4.3277e-17
4565.5419	1.0989e-15	4.3566e-17
4571.0599	1.1168e-15	4.4229e-17
4576.5778	1.1393e-15	4.4679e-17
4582.0957	1.1507e-15	4.1088e-17
4587.6136	1.1618e-15	4.2105e-17
4593.1316	1.1698e-15	3.5817e-17
4598.6495	1.1808e-15	3.6494e-17
4604.1674	1.1845e-15	3.7823e-17
4609.6854	1.1882e-15	1.8816e-17
4615.2033	1.1930e-15	2.2521e-17
4620.7212	1.1982e-15	2.3361e-17
4626.2391	1.2037e-15	2.5450e-17
4631.7571	1.2075e-15	2.6321e-17
4637.2750	1.2098e-15	2.5520e-17
4642.7929	1.2115e-15	2.4300e-17
4648.3109	1.2150e-15	2.1068e-17
4653.8288	1.2169e-15	3.6219e-17
4659.3467	1.2119e-15	3.6282e-17
4664.8646	1.2096e-15	3.5227e-17
4670.3826	1.2092e-15	3.6422e-17
4675.9005	1.2049e-15	3.6467e-17
4681.4184	1.2031e-15	3.9136e-17
4686.9364	1.1916e-15	4.4470e-17
4692.4543	1.1828e-15	4.4757e-17
4697.9722	1.1718e-15	4.4756e-17
4703.4901	1.1564e-15	3.4720e-17
4709.0081	1.1356e-15	3.7723e-17
4714.5260	1.1119e-15	3.7170e-17
4720.0439	1.0805e-15	3.5293e-17
4725.5619	1.0461e-15	3.8943e-17
4731.0798	1.0122e-15	3.8642e-17
4736.5977	9.7341e-16	2.8935e-17
4742.1156	9.3097e-16	2.6209e-17
4747.6336	8.9216e-16	3.1493e-17
4753.1515	8.5333e-16	4.1382e-17
4758.6694	8.1379e-16	4.0979e-17
4764.1874	7.7843e-16	4.5419e-17
4769.7053	7.4570e-16	4.5501e-17
4775.2232	7.1379e-16	3.6639e-17
4780.7411	6.8483e-16	3.3303e-17
4786.2591	6.6069e-16	3.6394e-17
4791.7770	6.4136e-16	3.7382e-17
4797.2949	6.2817e-16	3.6614e-17
4802.8129	6.1323e-16	3.0381e-17
4808.3308	6.0390e-16	3.1043e-17
4813.8487	5.9947e-16	2.0422e-17
4819.3666	5.9669e-16	1.8224e-17
4824.8846	5.9665e-16	1.9194e-17
4830.4025	5.9875e-16	1.8685e-17
4835.9204	5.9740e-16	1.7927e-17
4841.4384	5.9756e-16	1.7158e-17
4846.9563	5.9939e-16	1.4495e-17
4852.4742	5.9926e-16	2.8072e-17
4857.9921	5.9542e-16	2.6127e-17
4863.5101	5.9420e-16	2.8304e-17
4869.0280	5.9202e-16	2.8205e-17
4874.5459	5.9091e-16	2.6381e-17
4880.0639	5.9299e-16	2.6500e-17
4885.5818	5.9685e-16	2.5961e-17
4891.0997	6.1072e-16	2.5901e-17
4896.6176	6.2654e-16	2.5630e-17
4902.1356	6.4822e-16	2.0532e-17
4907.6535	6.7266e-16	2.3882e-17
4913.1714	6.9522e-16	2.2406e-17
4918.6894	7.2119e-16	2.2786e-17
