#wls	flux	flux_err
4329.9800	9.2769e+03	3.7220e+03
4332.2680	9.5023e+03	3.7006e+03
4334.5550	9.5490e+03	3.0730e+03
4336.8430	9.5555e+03	2.7080e+03
4339.1300	9.7179e+03	2.9711e+03
4341.4180	9.8830e+03	2.9711e+03
4343.7050	9.9350e+03	2.8246e+03
4345.9930	9.7675e+03	2.7586e+03
4348.2810	9.6335e+03	3.0396e+03
4350.5680	9.4714e+03	2.9952e+03
4352.8560	9.3694e+03	2.9977e+03
4355.1430	9.2679e+03	3.0027e+03
4357.4310	9.0819e+03	2.9246e+03
4359.7180	8.9646e+03	2.9716e+03
4362.0060	8.9164e+03	2.8647e+03
4364.2940	8.6815e+03	2.8206e+03
4366.5810	8.5320e+03	2.7835e+03
4368.8690	8.3171e+03	3.7806e+03
4371.1560	8.2854e+03	3.9098e+03
4373.4440	8.1720e+03	4.1394e+03
4375.7310	7.9877e+03	4.1338e+03
4378.0190	7.8039e+03	4.2619e+03
4380.3070	7.8044e+03	4.2886e+03
4382.5940	7.7423e+03	4.5117e+03
4384.8820	7.6501e+03	4.5849e+03
4387.1690	7.4384e+03	4.4937e+03
4389.4570	7.1884e+03	4.5011e+03
4391.7440	7.1328e+03	4.5034e+03
4394.0320	7.2350e+03	4.5671e+03
4396.3190	7.2818e+03	4.4436e+03
4398.6070	7.5131e+03	4.5569e+03
4400.8950	7.7045e+03	4.5958e+03
4403.1820	7.9205e+03	4.5495e+03
4405.4700	8.3000e+03	4.5643e+03
4407.7570	8.4987e+03	4.7891e+03
4410.0450	8.3429e+03	4.7930e+03
4412.3320	8.3146e+03	4.8662e+03
4414.6200	8.1734e+03	4.9656e+03
4416.9080	8.2137e+03	4.3065e+03
4419.1950	8.4695e+03	4.1308e+03
4421.4830	8.6235e+03	4.0809e+03
4423.7700	8.7200e+03	4.2842e+03
4426.0580	8.8239e+03	4.2056e+03
4428.3450	8.9957e+03	4.2188e+03
4430.6330	9.2663e+03	4.0587e+03
4432.9210	9.4016e+03	4.0406e+03
4435.2080	9.4702e+03	3.9278e+03
4437.4960	9.5024e+03	4.6480e+03
4439.7830	9.5684e+03	4.6936e+03
4442.0710	9.6392e+03	4.6319e+03
4444.3580	9.7976e+03	4.5781e+03
4446.6460	9.8943e+03	4.6251e+03
4448.9340	9.9174e+03	4.5706e+03
4451.2210	9.9636e+03	4.4722e+03
4453.5090	1.0024e+04	4.4126e+03
4455.7960	1.0085e+04	4.2211e+03
4458.0840	1.0033e+04	4.4176e+03
4460.3710	1.0058e+04	4.4574e+03
4462.6590	1.0245e+04	4.3708e+03
4464.9460	1.0247e+04	4.5013e+03
4467.2340	1.0258e+04	4.6212e+03
4469.5220	1.0292e+04	4.3863e+03
4471.8090	1.0359e+04	4.3685e+03
4474.0970	1.0230e+04	4.3661e+03
4476.3840	1.0195e+04	4.3047e+03
4478.6720	1.0215e+04	4.4462e+03
4480.9590	1.0038e+04	4.5612e+03
4483.2470	9.8349e+03	4.6970e+03
4485.5350	9.6702e+03	4.0281e+03
4487.8220	9.5322e+03	3.9890e+03
4490.1100	9.4165e+03	4.1124e+03
4492.3970	9.0023e+03	4.1163e+03
4494.6850	8.6684e+03	3.9663e+03
4496.9720	8.2244e+03	4.2024e+03
4499.2600	7.8969e+03	4.1853e+03
4501.5480	7.6522e+03	4.1858e+03
4503.8350	7.2407e+03	4.2583e+03
4506.1230	7.0230e+03	4.2174e+03
4508.4100	6.8496e+03	4.1172e+03
4510.6980	6.6953e+03	4.1064e+03
4512.9850	6.3444e+03	3.9339e+03
4515.2730	5.9961e+03	3.8112e+03
4517.5610	5.7801e+03	3.8221e+03
4519.8480	5.4815e+03	3.5819e+03
4522.1360	5.1165e+03	3.5985e+03
4524.4230	4.8149e+03	3.5718e+03
4526.7110	4.5543e+03	3.3835e+03
4528.9980	4.3364e+03	3.1388e+03
4531.2860	3.9269e+03	2.8313e+03
4533.5730	3.7884e+03	2.8051e+03
4535.8610	3.6267e+03	2.7527e+03
4538.1490	3.4400e+03	2.5617e+03
4540.4360	3.1200e+03	2.5035e+03
4542.7240	2.9895e+03	2.4528e+03
4545.0110	2.8574e+03	2.3594e+03
4547.2990	2.4993e+03	2.3140e+03
4549.5860	2.3908e+03	2.3219e+03
4551.8740	2.3322e+03	2.2169e+03
4554.1620	2.3787e+03	1.9782e+03
4556.4490	2.4813e+03	1.9583e+03
4558.7370	2.6443e+03	1.9118e+03
4561.0240	2.6188e+03	1.8694e+03
4563.3120	2.4758e+03	1.8337e+03
