#wls	flux	flux_err
4040.4160	2.9965e-02	2.8790e-03
4041.6000	3.0160e-02	2.9437e-03
4042.7840	3.0280e-02	2.9410e-03
4043.9680	3.0442e-02	2.9366e-03
4045.1520	3.0631e-02	2.9406e-03
4046.3360	3.0749e-02	2.9691e-03
4047.5200	3.0889e-02	2.9729e-03
4048.7030	3.1032e-02	2.9631e-03
4049.8870	3.1176e-02	2.9883e-03
4051.0710	3.1319e-02	2.9371e-03
4052.2550	3.1489e-02	2.8856e-03
4053.4390	3.1689e-02	2.7476e-03
4054.6230	3.1830e-02	2.6480e-03
4055.8060	3.2010e-02	2.6042e-03
4056.9900	3.2160e-02	2.5818e-03
4058.1740	3.2281e-02	2.5392e-03
4059.3580	3.2436e-02	2.5636e-03
4060.5420	3.2568e-02	2.5668e-03
4061.7260	3.2646e-02	2.5885e-03
4062.9100	3.2725e-02	2.5855e-03
4064.0930	3.2825e-02	2.4823e-03
4065.2770	3.2955e-02	2.4830e-03
4066.4610	3.3134e-02	2.4371e-03
4067.6450	3.3230e-02	2.4826e-03
4068.8290	3.3352e-02	2.4646e-03
4070.0130	3.3420e-02	2.4670e-03
4071.1970	3.3482e-02	2.4191e-03
4072.3800	3.3594e-02	2.3910e-03
4073.5640	3.3660e-02	2.4873e-03
4074.7480	3.3706e-02	2.4854e-03
4075.9320	3.3713e-02	2.5124e-03
4077.1160	3.3804e-02	2.5333e-03
4078.3000	3.3888e-02	2.5455e-03
4079.4830	3.3935e-02	2.3431e-03
4080.6670	3.4024e-02	2.2832e-03
4081.8510	3.4088e-02	2.1581e-03
4083.0350	3.4133e-02	2.1152e-03
4084.2190	3.4186e-02	2.1587e-03
4085.4030	3.4247e-02	2.1769e-03
4086.5870	3.4304e-02	2.1630e-03
4087.7700	3.4443e-02	2.1602e-03
4088.9540	3.4514e-02	2.1660e-03
4090.1380	3.4535e-02	2.0825e-03
4091.3220	3.4644e-02	2.0880e-03
4092.5060	3.4771e-02	2.0753e-03
4093.6900	3.4887e-02	1.9823e-03
4094.8740	3.5093e-02	1.8561e-03
4096.0570	3.5241e-02	1.8373e-03
4097.2410	3.5320e-02	1.8817e-03
4098.4250	3.5344e-02	1.8663e-03
4099.6090	3.5390e-02	1.8661e-03
4100.7930	3.5436e-02	1.8684e-03
4101.9770	3.5511e-02	1.9639e-03
4103.1600	3.5540e-02	1.9750e-03
4104.3440	3.5648e-02	1.9755e-03
4105.5280	3.5698e-02	1.9793e-03
4106.7120	3.5730e-02	1.9552e-03
4107.8960	3.5806e-02	1.9098e-03
4109.0800	3.5869e-02	1.8757e-03
4110.2640	3.5965e-02	1.8535e-03
4111.4470	3.6011e-02	1.8630e-03
4112.6310	3.6057e-02	1.8664e-03
4113.8150	3.6110e-02	1.8701e-03
4114.9990	3.6145e-02	1.9097e-03
4116.1830	3.6198e-02	1.7905e-03
4117.3670	3.6254e-02	1.8514e-03
4118.5510	3.6301e-02	1.8481e-03
4119.7340	3.6381e-02	1.8606e-03
4120.9180	3.6429e-02	1.8607e-03
4122.1020	3.6466e-02	1.7108e-03
4123.2860	3.6523e-02	1.7053e-03
4124.4700	3.6544e-02	1.6763e-03
4125.6540	3.6550e-02	1.6478e-03
4126.8370	3.6524e-02	1.6564e-03
4128.0210	3.6460e-02	1.9722e-03
4129.2050	3.6418e-02	1.9643e-03
4130.3890	3.6331e-02	2.0571e-03
4131.5730	3.6306e-02	2.1261e-03
4132.7570	3.6194e-02	2.1159e-03
4133.9410	3.6102e-02	2.1622e-03
4135.1240	3.5997e-02	2.1214e-03
4136.3080	3.5938e-02	2.1210e-03
4137.4920	3.5856e-02	2.0952e-03
4138.6760	3.5802e-02	2.0763e-03
4139.8600	3.5722e-02	2.0930e-03
4141.0440	3.5639e-02	2.2231e-03
4142.2280	3.5481e-02	2.2252e-03
4143.4110	3.5289e-02	2.2183e-03
4144.5950	3.5129e-02	2.2715e-03
4145.7790	3.4950e-02	2.2518e-03
4146.9630	3.4764e-02	2.2167e-03
4148.1470	3.4587e-02	2.2176e-03
4149.3310	3.4393e-02	2.2252e-03
4150.5140	3.4183e-02	2.1696e-03
4151.6980	3.4011e-02	2.1458e-03
4152.8820	3.3849e-02	2.1771e-03
4154.0660	3.3784e-02	2.1839e-03
4155.2500	3.3683e-02	2.2013e-03
4156.4340	3.3558e-02	2.2580e-03
