#MJD,band,Flux,Flux_err,FilterSet,Instr
58909.317,ZTF_r,1.8566679973644076e-17,4.035728434381652e-18,GeneralFilters,P48
58909.318,ZTF_r,2.463396112458745e-17,4.106657716681363e-18,GeneralFilters,P48
58912.4,ZTF_r,2.6298698231008975e-17,4.335737320649904e-18,GeneralFilters,P48
58912.421,ZTF_r,2.756349292191236e-17,4.2396148325778466e-18,GeneralFilters,P48
58913.222,ZTF_r,3.6268888948171583e-17,6.647571361308706e-18,GeneralFilters,P48
58922.41,ps_r,2.4522825991463893e-17,5.985384717999361e-18,GeneralFilters,PAN_STARRS1
58922.41,ps_i,1.2457953361472991e-17,2.7997045754558555e-18,GeneralFilters,PAN_STARRS1
58929.35,ps_i,1.2321021082175375e-17,2.4625333143677016e-18,GeneralFilters,PAN_STARRS1
58957.38,ps_i,1.527026945915236e-17,2.137794565216905e-18,GeneralFilters,PAN_STARRS1
58961.27,ps_g,1.816926201680462e-17,3.480777819633691e-18,GeneralFilters,PAN_STARRS1
58961.27,ps_r,1.3279157332540181e-17,1.5655111537371957e-18,GeneralFilters,PAN_STARRS1
58962.253,ZTF_r,1.3562328259056717e-17,3.322703342763389e-18,GeneralFilters,P48
58986.29,ps_r,1.077383987216049e-17,1.4686148385693444e-18,GeneralFilters,PAN_STARRS1
58986.29,ps_g,1.3719468531305957e-17,3.1590243723986015e-18,GeneralFilters,PAN_STARRS1
58991.31,ps_r,1.2822435303793537e-17,2.456459065748112e-18,GeneralFilters,PAN_STARRS1
58994.26,ps_i,9.294942354093046e-18,1.3440704502597785e-18,GeneralFilters,PAN_STARRS1
