#MJD,band,Flux,Flux_err,FilterSet,Instr
59032.27,ps_r,2.49513351187474e-16,5.05582636193594e-18,GeneralFilters,PAN_STARRS1
59032.27,ps_z,3.147975167276797e-16,4.639027643703667e-18,GeneralFilters,PAN_STARRS1
59033.172,ZTF_r,2.626438472889326e-16,1.2579003996709298e-17,GeneralFilters,P48
59036.28,ps_r,2.3740714711745306e-16,4.373201263383135e-18,GeneralFilters,PAN_STARRS1
59036.28,ps_z,3.293300027502558e-16,4.246537988047193e-18,GeneralFilters,PAN_STARRS1
59037.211,ZTF_g,1.5647329553621053e-16,2.262640528290909e-17,GeneralFilters,P48
59042.27,ps_z,2.6942090944022394e-16,3.722187418907751e-18,GeneralFilters,PAN_STARRS1
59042.27,ps_g,1.1591882929613127e-16,5.872085303361044e-18,GeneralFilters,PAN_STARRS1
59059.28,ps_z,2.66950843695435e-16,5.900899519250806e-18,GeneralFilters,PAN_STARRS1
59059.28,ps_r,2.0984266309246586e-16,1.7587773399956137e-17,GeneralFilters,PAN_STARRS1
