#wls	flux	flux_err
4083.6600	3.5771e-16	4.0911e-17
4088.0800	3.7048e-16	4.8601e-17
4092.5000	3.8255e-16	5.4191e-17
4096.9300	3.9001e-16	5.7618e-17
4101.3500	3.9282e-16	6.3109e-17
4105.7700	3.9100e-16	6.3105e-17
4110.2000	3.8672e-16	5.9138e-17
4114.6200	3.7812e-16	5.0512e-17
4119.0400	3.6887e-16	5.0286e-17
4123.4700	3.5785e-16	4.8439e-17
4127.8900	3.4675e-16	4.3718e-17
4132.3100	3.3693e-16	4.5603e-17
4136.7400	3.2892e-16	4.3795e-17
4141.1600	3.2224e-16	4.1515e-17
4145.5800	3.1954e-16	3.3661e-17
4150.0100	3.1991e-16	2.0631e-17
4154.4300	3.1806e-16	2.0700e-17
4158.8500	3.1414e-16	2.0268e-17
4163.2800	3.0910e-16	1.9661e-17
4167.7000	3.0581e-16	1.9335e-17
4172.1200	3.0085e-16	1.8882e-17
4176.5500	2.9867e-16	1.8954e-17
4180.9700	3.0011e-16	1.7740e-17
4185.3900	3.0070e-16	1.6921e-17
4189.8200	2.9851e-16	1.6025e-17
4194.2400	2.9749e-16	1.6026e-17
4198.6600	2.9412e-16	1.5199e-17
4203.0900	2.8725e-16	1.6152e-17
4207.5100	2.8372e-16	1.8227e-17
4211.9300	2.8027e-16	1.5918e-17
4216.3600	2.7763e-16	9.2770e-18
4220.7800	2.7744e-16	9.5676e-18
4225.2000	2.8059e-16	1.5943e-17
4229.6300	2.8158e-16	2.3699e-17
4234.0500	2.8428e-16	2.5171e-17
4238.4700	2.8708e-16	2.4596e-17
4242.9000	2.8923e-16	2.4473e-17
4247.3200	2.9192e-16	2.4771e-17
4251.7400	2.9646e-16	2.7442e-17
4256.1700	2.9823e-16	2.6771e-17
4260.5900	2.9972e-16	2.6488e-17
4265.0100	3.0158e-16	2.6257e-17
4269.4400	3.0262e-16	2.7977e-17
4273.8600	3.0085e-16	2.8452e-17
4278.2800	3.0117e-16	2.4746e-17
4282.7100	3.0089e-16	2.4009e-17
4287.1300	2.9998e-16	2.3908e-17
4291.5500	2.9685e-16	2.4327e-17
4295.9800	2.9562e-16	2.5743e-17
4300.4000	2.9487e-16	2.2689e-17
4304.8200	2.9655e-16	2.5393e-17
4309.2500	2.9952e-16	2.9053e-17
4313.6700	3.0534e-16	2.9528e-17
4318.0900	3.1101e-16	2.6916e-17
4322.5200	3.1558e-16	2.1484e-17
4326.9400	3.2074e-16	2.3239e-17
4331.3600	3.2885e-16	2.8298e-17
4335.7900	3.3656e-16	3.0871e-17
4340.2100	3.4498e-16	3.4710e-17
4344.6300	3.5473e-16	3.7593e-17
4349.0600	3.6310e-16	3.7279e-17
4353.4800	3.6696e-16	3.4466e-17
4357.9000	3.6963e-16	2.9676e-17
4362.3300	3.7222e-16	2.6397e-17
4366.7500	3.7273e-16	2.3685e-17
4371.1700	3.7298e-16	2.3411e-17
4375.6000	3.7431e-16	2.9999e-17
4380.0200	3.7472e-16	3.1923e-17
4384.4400	3.7178e-16	3.2395e-17
4388.8700	3.6857e-16	3.0593e-17
4393.2900	3.6240e-16	2.8108e-17
4397.7100	3.5592e-16	2.7913e-17
4402.1400	3.5067e-16	2.7208e-17
4406.5600	3.4514e-16	2.5175e-17
4410.9800	3.3796e-16	2.2463e-17
4415.4100	3.3175e-16	2.2751e-17
4419.8300	3.2622e-16	2.3950e-17
4424.2500	3.2093e-16	2.6104e-17
4428.6800	3.1866e-16	2.3848e-17
4433.1000	3.1981e-16	2.2495e-17
4437.5200	3.2228e-16	2.1508e-17
4441.9500	3.2649e-16	1.9149e-17
4446.3700	3.3247e-16	1.9130e-17
4450.7900	3.3830e-16	1.8184e-17
4455.2200	3.4352e-16	1.9403e-17
4459.6400	3.4954e-16	1.7616e-17
4464.0600	3.5587e-16	1.3970e-17
4468.4900	3.5980e-16	1.5846e-17
4472.9100	3.6199e-16	1.1816e-17
4477.3300	3.6194e-16	1.3153e-17
4481.7600	3.6100e-16	1.8010e-17
4486.1800	3.5771e-16	1.7928e-17
4490.6000	3.5471e-16	1.7345e-17
4495.0300	3.5259e-16	1.7166e-17
4499.4500	3.5146e-16	1.9333e-17
4503.8800	3.5078e-16	2.1233e-17
4508.3000	3.4964e-16	2.1355e-17
4512.7200	3.4663e-16	2.1385e-17
4517.1500	3.4359e-16	2.3340e-17
4521.5700	3.4281e-16	2.6359e-17
4525.9900	3.4355e-16	2.6212e-17
4530.4200	3.4544e-16	2.0379e-17
4534.8400	3.5092e-16	1.8738e-17
4539.2600	3.5899e-16	2.0875e-17
4543.6900	3.6887e-16	2.8280e-17
4548.1100	3.7754e-16	2.9857e-17
4552.5300	3.8977e-16	3.0380e-17
4556.9600	3.9746e-16	3.3704e-17
4561.3800	4.0170e-16	3.5048e-17
4565.8000	4.0178e-16	3.3210e-17
4570.2300	3.9931e-16	3.0648e-17
4574.6500	3.9292e-16	2.7587e-17
4579.0700	3.8713e-16	2.0852e-17
4583.5000	3.8368e-16	1.1535e-17
4587.9200	3.7763e-16	1.5407e-17
4592.3400	3.7234e-16	1.8542e-17
4596.7700	3.6588e-16	2.3323e-17
4601.1900	3.5733e-16	3.5120e-17
4605.6100	3.4570e-16	4.5179e-17
4610.0400	3.3534e-16	5.0635e-17
4614.4600	3.2355e-16	5.4946e-17
4618.8800	3.1142e-16	5.1202e-17
4623.3100	3.0007e-16	4.6948e-17
4627.7300	2.9006e-16	6.4774e-17
4632.1500	2.7968e-16	7.5195e-17
4636.5800	2.7114e-16	8.3596e-17
4641.0000	2.6564e-16	8.4942e-17
4645.4200	2.6408e-16	8.4617e-17
4649.8500	2.6477e-16	8.4974e-17
4654.2700	2.7003e-16	8.1552e-17
4658.6900	2.7787e-16	7.5825e-17
4663.1200	2.8625e-16	6.9270e-17
4667.5400	2.9501e-16	6.8199e-17
4671.9600	3.0420e-16	6.8858e-17
4676.3900	3.1518e-16	5.8482e-17
4680.8100	3.2653e-16	4.7835e-17
