MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err
59090.33000000017	6.787450871957892e-17	7.981686836610809e-18	5.500696793448009e-17	2.3686376794209394e-18	nan	nan	nan	nan	nan	nan
59090.38000000017	6.855049437461062e-17	7.910695210399292e-18	5.59196908621119e-17	2.3604479937256148e-18	nan	nan	nan	nan	nan	nan
59090.430000000175	6.922816735299731e-17	7.84212285109833e-18	5.683359462260951e-17	2.3538574323640573e-18	nan	nan	nan	nan	nan	nan
59090.48000000018	6.990748766180775e-17	7.775962411745004e-18	5.774859424734219e-17	2.348867820859269e-18	nan	nan	nan	nan	nan	nan
59090.53000000018	7.058841531682563e-17	7.712205801086723e-18	5.86646159511287e-17	2.345478403366877e-18	nan	nan	nan	nan	nan	nan
59090.580000000184	7.127091034234274e-17	7.650844178835266e-18	5.958163067108251e-17	2.3436672482561023e-18	nan	nan	nan	nan	nan	nan
59090.63000000019	7.195493277090361e-17	7.591867952798351e-18	6.049962052722575e-17	2.343409754192811e-18	nan	nan	nan	nan	nan	nan
59090.68000000019	7.264044264309313e-17	7.535266777950763e-18	6.14185676428952e-17	2.344684929553425e-18	nan	nan	nan	nan	nan	nan
59090.73000000019	7.3327400007297e-17	7.481029557547561e-18	6.233845414455244e-17	2.347475475303005e-18	nan	nan	nan	nan	nan	nan
59090.780000000195	7.401576491947369e-17	7.429144446344635e-18	6.325926216169833e-17	2.351767810179437e-18	nan	nan	nan	nan	nan	nan
59090.8300000002	7.470549744292823e-17	7.379598855973173e-18	6.418097382690139e-17	2.3575520390533495e-18	nan	nan	nan	nan	nan	nan
59090.8800000002	7.539655764807129e-17	7.332379462501966e-18	6.510357127567338e-17	2.3648218660495443e-18	nan	nan	nan	nan	nan	nan
59090.930000000204	7.60889056122024e-17	7.287472216213835e-18	6.602703664641022e-17	2.3735744548503083e-18	nan	nan	nan	nan	nan	nan
59090.98000000021	7.678250141927091e-17	7.244862353566323e-18	6.695135208033268e-17	2.3838102391227733e-18	nan	nan	nan	nan	nan	nan
59091.03000000021	7.747730515964615e-17	7.204534411330741e-18	6.787649972144975e-17	2.3955326869545183e-18	nan	nan	nan	nan	nan	nan
59091.08000000021	7.817327692989107e-17	7.166472242833428e-18	6.880246171638923e-17	2.4087480233154306e-18	nan	nan	nan	nan	nan	nan
59091.130000000216	7.887037683253198e-17	7.130659036257016e-18	6.972922021448144e-17	2.423464915196567e-18	nan	nan	nan	nan	nan	nan
59091.18000000022	7.956856497582126e-17	7.097077334861431e-18	7.065675736761423e-17	2.4396941246776704e-18	nan	nan	nan	nan	nan	nan
59091.23000000022	8.026780147351827e-17	7.065709059056281e-18	7.158505533014542e-17	2.4574481351843972e-18	nan	nan	nan	nan	nan	nan
59091.280000000224	8.096804644464748e-17	7.03653553015586e-18	7.251409625890669e-17	2.4767407565027293e-18	nan	nan	nan	nan	nan	nan
59091.33000000023	8.166926001328174e-17	7.009537495661813e-18	7.344386231304254e-17	2.4975867143126973e-18	nan	nan	nan	nan	nan	nan
59091.38000000023	8.237140230830411e-17	6.98469515590868e-18	7.437433565405505e-17	2.5200012301371467e-18	nan	nan	nan	nan	nan	nan
59091.43000000023	8.307443346317105e-17	6.961988191880387e-18	7.53054984456877e-17	2.5439995973009274e-18	nan	nan	nan	nan	nan	nan
59091.480000000236	8.377831361569743e-17	6.94139579399047e-18	7.623733285378647e-17	2.569596758507778e-18	nan	nan	nan	nan	nan	nan
59091.53000000024	8.448300290781728e-17	6.9228966915972614e-18	7.716981991481901e-17	2.5967879240352286e-18	nan	nan	nan	nan	nan	nan
59091.58000000024	8.518846148535884e-17	6.906469183057421e-18	7.810293614080519e-17	2.625491517763927e-18	nan	nan	nan	nan	nan	nan
59091.630000000245	8.58946494978081e-17	6.892091166077437e-18	7.903665691422328e-17	2.655606654667448e-18	nan	nan	nan	nan	nan	nan
59091.68000000025	8.660152709807962e-17	6.879740168099767e-18	7.997095761931125e-17	2.6870328598297872e-18	nan	nan	nan	nan	nan	nan
59091.73000000025	8.730905444229708e-17	6.869393376538321e-18	8.090581364216284e-17	2.719670728334911e-18	nan	nan	nan	nan	nan	nan
59091.78000000025	8.801719168954833e-17	6.861027668582197e-18	8.184120037054787e-17	2.7534224935802478e-18	nan	nan	nan	nan	nan	nan
59091.83000000026	8.87258990016704e-17	6.8546196403877854e-18	8.27770931938449e-17	2.7881925071284797e-18	nan	nan	nan	nan	nan	nan
59091.88000000026	8.943513654300794e-17	6.85014563539047e-18	8.371346750289232e-17	2.8238876356553813e-18	nan	nan	nan	nan	nan	nan
59091.93000000026	9.014486448018268e-17	6.8475817715585945e-18	8.465029869003735e-17	2.8604175811452188e-18	nan	nan	nan	nan	nan	nan
59091.980000000265	9.085504298188066e-17	6.8469039673771184e-18	8.558756214889721e-17	2.897695131708792e-18	nan	nan	nan	nan	nan	nan
59092.03000000027	9.156563221859877e-17	6.848087966364135e-18	8.652523327437961e-17	2.9356363503152274e-18	nan	nan	nan	nan	nan	nan
59092.08000000027	9.227659236242912e-17	6.851109359987568e-18	8.746328746253778e-17	2.974160709155861e-18	nan	nan	nan	nan	nan	nan
59092.130000000274	9.298788358683175e-17	6.8559436087641205e-18	8.840170011048079e-17	3.0131911766381663e-18	nan	nan	nan	nan	nan	nan
59092.18000000028	9.369947102162003e-17	6.862560534355717e-18	8.934044661634089e-17	3.0526542643424796e-18	nan	nan	nan	nan	nan	nan
59092.23000000028	9.441133961843491e-17	6.870907784549024e-18	9.027950237908569e-17	3.0924800398267117e-18	nan	nan	nan	nan	nan	nan
59092.28000000028	9.512347928498501e-17	6.88092754505057e-18	9.121884279854269e-17	3.1326021115703396e-18	nan	nan	nan	nan	nan	nan
59092.330000000286	9.583587992975747e-17	6.892562219577925e-18	9.215844327526261e-17	3.172957590934619e-18	nan	nan	nan	nan	nan	nan
59092.38000000029	9.654853146195495e-17	6.905754574878927e-18	9.309827921033781e-17	3.2134870359355856e-18	nan	nan	nan	nan	nan	nan
59092.43000000029	9.726142379142981e-17	6.920447877113203e-18	9.403832600551637e-17	3.254134380733006e-18	nan	nan	nan	nan	nan	nan
59092.480000000294	9.797454682863205e-17	6.936586019293556e-18	9.497855906290851e-17	3.294846854492934e-18	nan	nan	nan	nan	nan	nan
59092.5300000003	9.868789048453143e-17	6.954113639367855e-18	9.59189537850721e-17	3.335574892236293e-18	nan	nan	nan	nan	nan	nan
59092.5800000003	9.940144467056892e-17	6.972976228821506e-18	9.685948557474341e-17	3.3762720405444916e-18	nan	nan	nan	nan	nan	nan
59092.6300000003	1.0011519929858491e-16	6.993120231670465e-18	9.780012983492077e-17	3.4168948599503873e-18	nan	nan	nan	nan	nan	nan
59092.680000000306	1.0082914428076715e-16	7.014493133881776e-18	9.874086196867262e-17	3.457402825815493e-18	nan	nan	nan	nan	nan	nan
59092.73000000031	1.0154326952957538e-16	7.037043543277754e-18	9.96816573790725e-17	3.497758228971328e-18	nan	nan	nan	nan	nan	nan
59092.78000000031	1.0225756495768682e-16	7.060721260154107e-18	1.0062249146910691e-16	3.537926077471878e-18	nan	nan	nan	nan	nan	nan
59092.830000000315	1.029720204779363e-16	7.085477338788613e-18	1.0156333964163263e-16	3.577874000038356e-18	nan	nan	nan	nan	nan	nan
59092.88000000032	1.0368662600324037e-16	7.111264140169754e-18	1.0250417729920534e-16	3.617572152069478e-18	nan	nan	nan	nan	nan	nan
59092.93000000032	1.0440137144655651e-16	7.138035376274733e-18	1.0344497984409996e-16	3.65699312462445e-18	nan	nan	nan	nan	nan	nan
59092.98000000032	1.051162467207976e-16	7.165746146277306e-18	1.0438572267806782e-16	3.6961118567751954e-18	nan	nan	nan	nan	nan	nan
59093.030000000326	1.058312417387909e-16	7.194352965076957e-18	1.0532638120241831e-16	3.7349055515574324e-18	nan	nan	nan	nan	nan	nan
59093.08000000033	1.0654634641319039e-16	7.223813784588545e-18	1.0626693081780465e-16	3.773353595594203e-18	nan	nan	nan	nan	nan	nan
59093.13000000033	1.0726155065644484e-16	7.254088008205018e-18	1.072073469241789e-16	3.811437482595585e-18	nan	nan	nan	nan	nan	nan
