#wls	flux	fluxerr	mangling_mask
3.798000E+03	7.062565E-16	3.026742E-16	3.504995E+00
3.799000E+03	7.056958E-16	3.024142E-16	3.504299E+00
3.800000E+03	7.057308E-16	3.024524E-16	3.503603E+00
3.801000E+03	7.071319E-16	3.031203E-16	3.502908E+00
3.802000E+03	7.101434E-16	3.046373E-16	3.502212E+00
3.803000E+03	7.133287E-16	3.060628E-16	3.501515E+00
3.804000E+03	7.161626E-16	3.072227E-16	3.500819E+00
3.805000E+03	7.191003E-16	3.083245E-16	3.500123E+00
3.806000E+03	7.216518E-16	3.094051E-16	3.499427E+00
3.807000E+03	7.230476E-16	3.101461E-16	3.498730E+00
3.808000E+03	7.235682E-16	3.104542E-16	3.498034E+00
3.809000E+03	7.239138E-16	3.104180E-16	3.497337E+00
3.810000E+03	7.242241E-16	3.103199E-16	3.496640E+00
3.811000E+03	7.248838E-16	3.104739E-16	3.495943E+00
3.812000E+03	7.259976E-16	3.108035E-16	3.495246E+00
3.813000E+03	7.276700E-16	3.113125E-16	3.494549E+00
3.814000E+03	7.301801E-16	3.121451E-16	3.493852E+00
3.815000E+03	7.333878E-16	3.132250E-16	3.493155E+00
3.816000E+03	7.369085E-16	3.145640E-16	3.492457E+00
3.817000E+03	7.406721E-16	3.160237E-16	3.491760E+00
3.818000E+03	7.449578E-16	3.177065E-16	3.491062E+00
3.819000E+03	7.491719E-16	3.193706E-16	3.490365E+00
3.820000E+03	7.535936E-16	3.210297E-16	3.489667E+00
3.821000E+03	7.582577E-16	3.228703E-16	3.488969E+00
3.822000E+03	7.635477E-16	3.250469E-16	3.488271E+00
3.823000E+03	7.694633E-16	3.274735E-16	3.487573E+00
3.824000E+03	7.754462E-16	3.298634E-16	3.486875E+00
3.825000E+03	7.814614E-16	3.322399E-16	3.486177E+00
3.826000E+03	7.875090E-16	3.345981E-16	3.485479E+00
3.827000E+03	7.935193E-16	3.369372E-16	3.484780E+00
3.828000E+03	8.000148E-16	3.395027E-16	3.484082E+00
3.829000E+03	8.073437E-16	3.424266E-16	3.483383E+00
3.830000E+03	8.141820E-16	3.451614E-16	3.482684E+00
3.831000E+03	8.204951E-16	3.476416E-16	3.481986E+00
3.832000E+03	8.264923E-16	3.499811E-16	3.481287E+00
3.833000E+03	8.316865E-16	3.520067E-16	3.480588E+00
3.834000E+03	8.361825E-16	3.537801E-16	3.479889E+00
3.835000E+03	8.408158E-16	3.556144E-16	3.479190E+00
3.836000E+03	8.457602E-16	3.575548E-16	3.478490E+00
3.837000E+03	8.510155E-16	3.595760E-16	3.477791E+00
3.838000E+03	8.569988E-16	3.619118E-16	3.477092E+00
3.839000E+03	8.638487E-16	3.646195E-16	3.476392E+00
3.840000E+03	8.711824E-16	3.675441E-16	3.475693E+00
3.841000E+03	8.789995E-16	3.706340E-16	3.474993E+00
3.842000E+03	8.870913E-16	3.738186E-16	3.474293E+00
3.843000E+03	8.946587E-16	3.767879E-16	3.473593E+00
3.844000E+03	9.018062E-16	3.795723E-16	3.472893E+00
3.845000E+03	9.094022E-16	3.825525E-16	3.472193E+00
3.846000E+03	9.168908E-16	3.854700E-16	3.471493E+00
3.847000E+03	9.244110E-16	3.883374E-16	3.470793E+00
3.848000E+03	9.318934E-16	3.911254E-16	3.470093E+00
3.849000E+03	9.396156E-16	3.940042E-16	3.469393E+00
3.850000E+03	9.474386E-16	3.968610E-16	3.468692E+00
3.851000E+03	9.556051E-16	3.996908E-16	3.467992E+00
3.852000E+03	9.640456E-16	4.025912E-16	3.467291E+00
3.853000E+03	9.726212E-16	4.056478E-16	3.466590E+00
3.854000E+03	9.811933E-16	4.088593E-16	3.465889E+00
3.855000E+03	9.900737E-16	4.123448E-16	3.465189E+00
3.856000E+03	9.996779E-16	4.160817E-16	3.464488E+00
3.857000E+03	1.010006E-15	4.200328E-16	3.463787E+00
3.858000E+03	1.021264E-15	4.244020E-16	3.463086E+00
3.859000E+03	1.033383E-15	4.292132E-16	3.462384E+00
3.860000E+03	1.046294E-15	4.343761E-16	3.461683E+00
3.861000E+03	1.059580E-15	4.397251E-16	3.460982E+00
3.862000E+03	1.073102E-15	4.451282E-16	3.460280E+00
3.863000E+03	1.087449E-15	4.508481E-16	3.459579E+00
3.864000E+03	1.102344E-15	4.567636E-16	3.458877E+00
3.865000E+03	1.117267E-15	4.626970E-16	3.458176E+00
3.866000E+03	1.132254E-15	4.687007E-16	3.457474E+00
3.867000E+03	1.147303E-15	4.747463E-16	3.456772E+00
3.868000E+03	1.161827E-15	4.805385E-16	3.456070E+00
3.869000E+03	1.176138E-15	4.862013E-16	3.455368E+00
3.870000E+03	1.190029E-15	4.916940E-16	3.454666E+00
3.871000E+03	1.203465E-15	4.970492E-16	3.453964E+00
3.872000E+03	1.217447E-15	5.025909E-16	3.453262E+00
3.873000E+03	1.231942E-15	5.083175E-16	3.452559E+00
3.874000E+03	1.246500E-15	5.141279E-16	3.451857E+00
3.875000E+03	1.261880E-15	5.202104E-16	3.451155E+00
3.876000E+03	1.277875E-15	5.265254E-16	3.450452E+00
3.877000E+03	1.293518E-15	5.327052E-16	3.449749E+00
3.878000E+03	1.308913E-15	5.388088E-16	3.449047E+00
3.879000E+03	1.324543E-15	5.450005E-16	3.448344E+00
3.880000E+03	1.340098E-15	5.511070E-16	3.447641E+00
3.881000E+03	1.355509E-15	5.571511E-16	3.446938E+00
3.882000E+03	1.370981E-15	5.632157E-16	3.446235E+00
3.883000E+03	1.386655E-15	5.693391E-16	3.445532E+00
3.884000E+03	1.402183E-15	5.753849E-16	3.444829E+00
3.885000E+03	1.417568E-15	5.813724E-16	3.444126E+00
3.886000E+03	1.433084E-15	5.874139E-16	3.443423E+00
3.887000E+03	1.448628E-15	5.934744E-16	3.442720E+00
3.888000E+03	1.464234E-15	5.995918E-16	3.442016E+00
3.889000E+03	1.479902E-15	6.057362E-16	3.441313E+00
3.890000E+03	1.496011E-15	6.119850E-16	3.440609E+00
3.891000E+03	1.512355E-15	6.183100E-16	3.439906E+00
3.892000E+03	1.528794E-15	6.247041E-16	3.439202E+00
3.893000E+03	1.545433E-15	6.312334E-16	3.438498E+00
3.894000E+03	1.562787E-15	6.381320E-16	3.437794E+00
3.895000E+03	1.580306E-15	6.450210E-16	3.437091E+00
3.896000E+03	1.598229E-15	6.520185E-16	3.436387E+00
3.897000E+03	1.616317E-15	6.590864E-16	3.435683E+00
3.898000E+03	1.634397E-15	6.661149E-16	3.434979E+00
3.899000E+03	1.652161E-15	6.729953E-16	3.434274E+00
3.900000E+03	1.669677E-15	6.797701E-16	3.433570E+00
3.901000E+03	1.687082E-15	6.864907E-16	3.432866E+00
3.902000E+03	1.704514E-15	6.932107E-16	3.432162E+00
3.903000E+03	1.722077E-15	6.999731E-16	3.431457E+00
3.904000E+03	1.739803E-15	7.068507E-16	3.430753E+00
3.905000E+03	1.758071E-15	7.139718E-16	3.430048E+00
3.906000E+03	1.776400E-15	7.210873E-16	3.429344E+00
3.907000E+03	1.794310E-15	7.279940E-16	3.428639E+00
3.908000E+03	1.811800E-15	7.346999E-16	3.427934E+00
3.909000E+03	1.828975E-15	7.412668E-16	3.427230E+00
3.910000E+03	1.845629E-15	7.476033E-16	3.426525E+00
3.911000E+03	1.862036E-15	7.538033E-16	3.425820E+00
3.912000E+03	1.878984E-15	7.602399E-16	3.425115E+00
3.913000E+03	1.895788E-15	7.666342E-16	3.424410E+00
3.914000E+03	1.912208E-15	7.728571E-16	3.423705E+00
3.915000E+03	1.928313E-15	7.789389E-16	3.423000E+00
3.916000E+03	1.944069E-15	7.849251E-16	3.422295E+00
3.917000E+03	1.959339E-15	7.908368E-16	3.421589E+00
3.918000E+03	1.974568E-15	7.968822E-16	3.420884E+00
3.919000E+03	1.989689E-15	8.029020E-16	3.420179E+00
3.920000E+03	2.004529E-15	8.087242E-16	3.419473E+00
3.921000E+03	2.019056E-15	8.143213E-16	3.418768E+00
3.922000E+03	2.033234E-15	8.197315E-16	3.418062E+00
3.923000E+03	2.046860E-15	8.247908E-16	3.417357E+00
3.924000E+03	2.060275E-15	8.296764E-16	3.416651E+00
3.925000E+03	2.073274E-15	8.344563E-16	3.415945E+00
3.926000E+03	2.085448E-15	8.389124E-16	3.415240E+00
3.927000E+03	2.096968E-15	8.430801E-16	3.414534E+00
3.928000E+03	2.108209E-15	8.471739E-16	3.413828E+00
3.929000E+03	2.119378E-15	8.514647E-16	3.413122E+00
3.930000E+03	2.130713E-15	8.561920E-16	3.412416E+00
3.931000E+03	2.142486E-15	8.615014E-16	3.411710E+00
3.932000E+03	2.154219E-15	8.669208E-16	3.411004E+00
3.933000E+03	2.165573E-15	8.718579E-16	3.410298E+00
3.934000E+03	2.176342E-15	8.760297E-16	3.409592E+00
3.935000E+03	2.186800E-15	8.797636E-16	3.408885E+00
3.936000E+03	2.197151E-15	8.833820E-16	3.408179E+00
3.937000E+03	2.207531E-15	8.870358E-16	3.407473E+00
3.938000E+03	2.217873E-15	8.906589E-16	3.406766E+00
3.939000E+03	2.228142E-15	8.942280E-16	3.406060E+00
3.940000E+03	2.238203E-15	8.977267E-16	3.405353E+00
3.941000E+03	2.247578E-15	9.009563E-16	3.404647E+00
3.942000E+03	2.256370E-15	9.039547E-16	3.403940E+00
3.943000E+03	2.265022E-15	9.068857E-16	3.403234E+00
3.944000E+03	2.273364E-15	9.096455E-16	3.402527E+00
3.945000E+03	2.281057E-15	9.121752E-16	3.401820E+00
3.946000E+03	2.288779E-15	9.147266E-16	3.401113E+00
3.947000E+03	2.296567E-15	9.172935E-16	3.400407E+00
3.948000E+03	2.304045E-15	9.197432E-16	3.399700E+00
3.949000E+03	2.311383E-15	9.221331E-16	3.398993E+00
3.950000E+03	2.318583E-15	9.244665E-16	3.398286E+00
3.951000E+03	2.325337E-15	9.266194E-16	3.397579E+00
3.952000E+03	2.331715E-15	9.286131E-16	3.396872E+00
3.953000E+03	2.337784E-15	9.304932E-16	3.396165E+00
3.954000E+03	2.343749E-15	9.323118E-16	3.395458E+00
3.955000E+03	2.349405E-15	9.339905E-16	3.394751E+00
3.956000E+03	2.354448E-15	9.354342E-16	3.394043E+00
3.957000E+03	2.359421E-15	9.368612E-16	3.393336E+00
3.958000E+03	2.364289E-15	9.382537E-16	3.392629E+00
3.959000E+03	2.368884E-15	9.395293E-16	3.391921E+00
3.960000E+03	2.373748E-15	9.409008E-16	3.391214E+00
3.961000E+03	2.378813E-15	9.423485E-16	3.390507E+00
3.962000E+03	2.383842E-15	9.438309E-16	3.389799E+00
3.963000E+03	2.388767E-15	9.453408E-16	3.389092E+00
3.964000E+03	2.393419E-15	9.468561E-16	3.388384E+00
3.965000E+03	2.397493E-15	9.483601E-16	3.387677E+00
3.966000E+03	2.401090E-15	9.496765E-16	3.386969E+00
3.967000E+03	2.404246E-15	9.505741E-16	3.386261E+00
3.968000E+03	2.407433E-15	9.513057E-16	3.385554E+00
3.969000E+03	2.410383E-15	9.518261E-16	3.384846E+00
3.970000E+03	2.413094E-15	9.520515E-16	3.384138E+00
3.971000E+03	2.416040E-15	9.522742E-16	3.383430E+00
3.972000E+03	2.419019E-15	9.525065E-16	3.382723E+00
3.973000E+03	2.421624E-15	9.527003E-16	3.382015E+00
3.974000E+03	2.423890E-15	9.528456E-16	3.381307E+00
3.975000E+03	2.426019E-15	9.529276E-16	3.380599E+00
3.976000E+03	2.427911E-15	9.529585E-16	3.379891E+00
3.977000E+03	2.429295E-15	9.528829E-16	3.379183E+00
3.978000E+03	2.430103E-15	9.526604E-16	3.378475E+00
3.979000E+03	2.430641E-15	9.522708E-16	3.377767E+00
3.980000E+03	2.430908E-15	9.515697E-16	3.377059E+00
3.981000E+03	2.431040E-15	9.505883E-16	3.376351E+00
3.982000E+03	2.431138E-15	9.494659E-16	3.375643E+00
3.983000E+03	2.431134E-15	9.483983E-16	3.374934E+00
3.984000E+03	2.430658E-15	9.474580E-16	3.374226E+00
3.985000E+03	2.429506E-15	9.464656E-16	3.373518E+00
3.986000E+03	2.427614E-15	9.451968E-16	3.372810E+00
3.987000E+03	2.425317E-15	9.437165E-16	3.372101E+00
3.988000E+03	2.422953E-15	9.422199E-16	3.371393E+00
3.989000E+03	2.420792E-15	9.408290E-16	3.370685E+00
3.990000E+03	2.418767E-15	9.394976E-16	3.369976E+00
3.991000E+03	2.416776E-15	9.381890E-16	3.369268E+00
3.992000E+03	2.414651E-15	9.368089E-16	3.368560E+00
3.993000E+03	2.412392E-15	9.353631E-16	3.367851E+00
3.994000E+03	2.409864E-15	9.338342E-16	3.367143E+00
3.995000E+03	2.407539E-15	9.323912E-16	3.366434E+00
3.996000E+03	2.405282E-15	9.309782E-16	3.365726E+00
3.997000E+03	2.402589E-15	9.294138E-16	3.365017E+00
3.998000E+03	2.399459E-15	9.276942E-16	3.364309E+00
3.999000E+03	2.396161E-15	9.259003E-16	3.363600E+00
4.000000E+03	2.392159E-15	9.238530E-16	3.362891E+00
4.001000E+03	2.387755E-15	9.216559E-16	3.362183E+00
4.002000E+03	2.383588E-15	9.195273E-16	3.361474E+00
4.003000E+03	2.379254E-15	9.173113E-16	3.360765E+00
4.004000E+03	2.374485E-15	9.149230E-16	3.360057E+00
4.005000E+03	2.369516E-15	9.124637E-16	3.359348E+00
4.006000E+03	2.364314E-15	9.099229E-16	3.358639E+00
4.007000E+03	2.358577E-15	9.071837E-16	3.357931E+00
4.008000E+03	2.352775E-15	9.044187E-16	3.357222E+00
4.009000E+03	2.346874E-15	9.016172E-16	3.356513E+00
4.010000E+03	2.340908E-15	8.987916E-16	3.355804E+00
4.011000E+03	2.335012E-15	8.960008E-16	3.355095E+00
4.012000E+03	2.328984E-15	8.931437E-16	3.354387E+00
4.013000E+03	2.322824E-15	8.902324E-16	3.353678E+00
4.014000E+03	2.317002E-15	8.873535E-16	3.352969E+00
4.015000E+03	2.310914E-15	8.840719E-16	3.352260E+00
4.016000E+03	2.304292E-15	8.804555E-16	3.351551E+00
4.017000E+03	2.297270E-15	8.767249E-16	3.350842E+00
4.018000E+03	2.289950E-15	8.728371E-16	3.350133E+00
4.019000E+03	2.281963E-15	8.687281E-16	3.349424E+00
4.020000E+03	2.273945E-15	8.648882E-16	3.348715E+00
4.021000E+03	2.265897E-15	8.612318E-16	3.348006E+00
4.022000E+03	2.257685E-15	8.575612E-16	3.347298E+00
4.023000E+03	2.249577E-15	8.539460E-16	3.346589E+00
4.024000E+03	2.241672E-15	8.504620E-16	3.345880E+00
4.025000E+03	2.233604E-15	8.468946E-16	3.345171E+00
4.026000E+03	2.225706E-15	8.433364E-16	3.344462E+00
4.027000E+03	2.217878E-15	8.398169E-16	3.343753E+00
4.028000E+03	2.209585E-15	8.361832E-16	3.343044E+00
4.029000E+03	2.200493E-15	8.322888E-16	3.342334E+00
4.030000E+03	2.190937E-15	8.282724E-16	3.341625E+00
4.031000E+03	2.181050E-15	8.242234E-16	3.340916E+00
4.032000E+03	2.171101E-15	8.202993E-16	3.340207E+00
