MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58906.343,16.985,0.014,7.614258577086948e-16,9.81818784452936e-18,ZTF_g,P48,GeneralFilters
58906.455,16.572,0.013,6.2837288731829345e-16,7.523786624539796e-18,ZTF_r,P48,GeneralFilters
58908.333,17.036,0.014,7.264866217753221e-16,9.367664687132978e-18,ZTF_g,P48,GeneralFilters
58908.459,16.531,0.015,6.525554754287149e-16,9.015387060442788e-18,ZTF_r,P48,GeneralFilters
58909.271,17.191,0.03,6.298362043275856e-16,1.7403017461351768e-17,ZTF_g,P48,GeneralFilters
58911.376,16.774,0.019,5.21695917363738e-16,9.129494242221717e-18,ZTF_r,P48,GeneralFilters
58911.399,17.203,0.016,6.22913325059995e-16,9.179589993667193e-18,ZTF_g,P48,GeneralFilters
58912.275,17.167,0.018,6.439136345976179e-16,1.0675194740640628e-17,ZTF_g,P48,GeneralFilters
58912.438,16.755,0.012,5.309057610793871e-16,5.867787317981066e-18,ZTF_r,P48,GeneralFilters
58913.121,17.108,0.017,6.798727290818935e-16,1.0645160715596608e-17,ZTF_g,P48,GeneralFilters
58913.439,16.716,0.015,5.503227137984247e-16,7.602989262769689e-18,ZTF_r,P48,GeneralFilters
58914.375,16.824,0.017,4.98215733240021e-16,7.800852019084263e-18,ZTF_r,P48,GeneralFilters
58914.435,17.164,0.02,6.456952940410018e-16,1.1894146869401745e-17,ZTF_g,P48,GeneralFilters
58915.375,17.217,0.026,6.14932747078843e-16,1.4725723756823234e-17,ZTF_g,P48,GeneralFilters
58915.4,16.797,0.019,5.107606583424541e-16,8.938131072702394e-18,ZTF_r,P48,GeneralFilters
58936.296,17.752,0.023,3.7568825768109393e-16,7.958498472094413e-18,ZTF_g,P48,GeneralFilters
58936.42,17.539,0.023,2.578798673102961e-16,5.462871111918128e-18,ZTF_r,P48,GeneralFilters
58939.338,17.829,0.034,3.4996742429836134e-16,1.0959284929431836e-17,ZTF_g,P48,GeneralFilters
58939.36,17.904,0.108,1.8425421776204783e-16,1.8328075854055352e-17,ZTF_r,P48,GeneralFilters
58940.369,17.684,0.129,3.999701871127765e-16,4.752181414917659e-17,ZTF_g,P48,GeneralFilters
58941.322,17.914,0.038,3.23614238186558e-16,1.1326269675080669e-17,ZTF_g,P48,GeneralFilters
58941.373,17.86,0.033,1.9187457818628058e-16,5.8318595736225035e-18,ZTF_r,P48,GeneralFilters
58954.256,18.16,0.038,1.4555175223029622e-16,5.094208483158573e-18,ZTF_r,P48,GeneralFilters
58954.297,18.334,0.039,2.1979996614295337e-16,7.895286757509207e-18,ZTF_g,P48,GeneralFilters
58955.269,18.273,0.045,1.3116484128656665e-16,5.436327748884799e-18,ZTF_r,P48,GeneralFilters
58955.306,18.3,0.037,2.267919426977556e-16,7.728674647711777e-18,ZTF_g,P48,GeneralFilters
58956.266,18.099,0.035,1.539633804838047e-16,4.9631929867657084e-18,ZTF_r,P48,GeneralFilters
58962.233,18.435,0.039,2.0027540617326672e-16,7.19395817006711e-18,ZTF_g,P48,GeneralFilters
58962.28,18.464,0.048,1.100062697058451e-16,4.863336897802771e-18,ZTF_r,P48,GeneralFilters
58963.312,18.64,0.052,1.6581645312546074e-16,7.941575057308502e-18,ZTF_g,P48,GeneralFilters
58964.27,18.447,0.047,1.1174225673448292e-16,4.8371658267494786e-18,ZTF_r,P48,GeneralFilters
58965.232,18.485,0.039,1.9126152805790126e-16,6.87017671656242e-18,ZTF_g,P48,GeneralFilters
58965.287,18.466,0.048,1.0980381719134028e-16,4.854386546277562e-18,ZTF_r,P48,GeneralFilters
58967.227,18.587,0.052,1.7411156580339562e-16,8.338859275484413e-18,ZTF_g,P48,GeneralFilters
58968.201,18.45,0.047,1.1143392763750275e-16,4.823818691879552e-18,ZTF_r,P48,GeneralFilters
58968.298,18.828,0.061,1.394529228307701e-16,7.83489419934376e-18,ZTF_g,P48,GeneralFilters
58971.212,18.697,0.073,8.876002953600935e-17,5.96782360920913e-18,ZTF_r,P48,GeneralFilters
58971.276,18.657,0.069,1.632403890636392e-16,1.0374146865536538e-17,ZTF_g,P48,GeneralFilters
58974.208,18.847,0.115,1.370337748027836e-16,1.4514468646489235e-17,ZTF_g,P48,GeneralFilters
58980.19,19.27,0.072,9.281702008993431e-17,6.155109700854095e-18,ZTF_g,P48,GeneralFilters
58980.253,19.52,0.124,4.159273107449482e-17,4.750231806432483e-18,ZTF_r,P48,GeneralFilters
58986.224,19.557,0.112,7.125701428732306e-17,7.350575181342556e-18,ZTF_g,P48,GeneralFilters
58991.169,19.445,0.104,7.90000963911372e-17,7.567224882685531e-18,ZTF_g,P48,GeneralFilters
58994.208,19.68,0.152,3.589363466032967e-17,5.0250074046167695e-18,ZTF_r,P48,GeneralFilters
58994.232,19.896,0.134,5.214679497953441e-17,6.435882396326875e-18,ZTF_g,P48,GeneralFilters
59020.199,20.393,0.244,3.2993441699728084e-17,7.414692205577704e-18,ZTF_g,P48,GeneralFilters
