MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
59015.212,18.257,0.024,1.3311207029389578e-16,2.9424179400604748e-18,ZTF_r,P48,GeneralFilters
59015.28,18.908,0.03,1.2878907616683521e-16,3.5585736830667474e-18,ps_g,PAN_STARRS1,GeneralFilters
59015.29,18.381,0.029,6.453930566885185e-17,1.723844020485299e-18,ps_z,PAN_STARRS1,GeneralFilters
59018.199,18.936,0.031,1.2624890533964922e-16,3.604665708279462e-18,ZTF_g,P48,GeneralFilters
59018.234,18.396,0.028,1.1711632551255975e-16,3.0203074190403337e-18,ZTF_r,P48,GeneralFilters
59021.234,18.458,0.026,1.1061586965359635e-16,2.6489055061346117e-18,ZTF_r,P48,GeneralFilters
59024.2,19.017,0.036,1.1717301937479624e-16,3.88513220707452e-18,ZTF_g,P48,GeneralFilters
59024.213,18.378,0.034,1.1907413575750834e-16,3.728825287406877e-18,ZTF_r,P48,GeneralFilters
59027.187,18.633,0.046,9.414937429101173e-17,3.988879801932489e-18,ZTF_r,P48,GeneralFilters
59027.212,19.012,0.064,1.1771386545851654e-16,6.9387825111932534e-18,ZTF_g,P48,GeneralFilters
59027.29,19.059,0.041,1.1206733075115185e-16,4.231930869267463e-18,ps_g,PAN_STARRS1,GeneralFilters
59027.29,18.871,0.05,4.109834077243183e-17,1.892648536187815e-18,ps_z,PAN_STARRS1,GeneralFilters
59032.194,19.079,0.114,1.1066941676453763e-16,1.1620054167732058e-17,ZTF_g,P48,GeneralFilters
59032.21,18.888,0.086,7.444189809145895e-17,5.89646288648139e-18,ZTF_r,P48,GeneralFilters
59036.192,19.126,0.08,1.0598090437451048e-16,7.808961617752796e-18,ZTF_g,P48,GeneralFilters
59036.278,18.81,0.099,7.998663711214564e-17,7.293371114824762e-18,ZTF_r,P48,GeneralFilters
59040.195,19.032,0.055,6.519547263223396e-17,3.3025987151010307e-18,ZTF_r,P48,GeneralFilters
59040.211,19.251,0.053,9.445558044804528e-17,4.610830643583092e-18,ZTF_g,P48,GeneralFilters
59040.29,18.852,0.029,8.236023220832598e-17,2.199840738085662e-18,ps_r,PAN_STARRS1,GeneralFilters
59040.3,19.191,0.061,3.060724844771414e-17,1.7196093739238269e-18,ps_z,PAN_STARRS1,GeneralFilters
59043.27,19.313,0.056,3.633862704494666e-17,1.8742702929118408e-18,ps_i,PAN_STARRS1,GeneralFilters
59043.28,19.211,0.035,9.74269322695035e-17,3.1406732265985843e-18,ps_g,PAN_STARRS1,GeneralFilters
59045.192,19.045,0.046,6.441951311413508e-17,2.7292979549395656e-18,ZTF_r,P48,GeneralFilters
59045.231,19.357,0.073,8.56697739946732e-17,5.7600487799928605e-18,ZTF_g,P48,GeneralFilters
59047.3,19.303,0.038,8.951153977574614e-17,3.1328406445063654e-18,ps_g,PAN_STARRS1,GeneralFilters
59047.3,19.005,0.033,7.153483214167033e-17,2.1742385031739827e-18,ps_r,PAN_STARRS1,GeneralFilters
59054.27,19.461,0.06,7.738896312423675e-17,4.2766721484512035e-18,ps_g,PAN_STARRS1,GeneralFilters
59054.27,19.193,0.037,6.016134851718554e-17,2.050194039197345e-18,ps_r,PAN_STARRS1,GeneralFilters
