MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
59115.435,18.75,0.029,1.498399506013214e-16,4.002223144438976e-18,ZTF_g,P48,GeneralFilters
59116.351,17.647,0.015,2.334626646482541e-16,3.2254059083384272e-18,ZTF_r,P48,GeneralFilters
59116.374,17.685,0.016,2.254329727661148e-16,3.3221030563877674e-18,ZTF_r,P48,GeneralFilters
59116.43,17.682,0.016,2.2605672844265074e-16,3.3312950597315184e-18,ZTF_r,P48,GeneralFilters
59116.509,18.822,0.032,1.4022570146146767e-16,4.132884605949546e-18,ZTF_g,P48,GeneralFilters
59116.528,18.853,0.051,1.3627858676130668e-16,6.401378064365963e-18,ZTF_g,P48,GeneralFilters
59117.391,17.666,0.015,2.2941269041087167e-16,3.1694534465023808e-18,ZTF_r,P48,GeneralFilters
59117.392,17.677,0.015,2.2710015889216156e-16,3.1375046428900225e-18,ZTF_r,P48,GeneralFilters
59118.296,17.659,0.02,2.3089654693424453e-16,4.253271575956724e-18,ZTF_r,P48,GeneralFilters
59118.333,17.649,0.017,2.330330063785262e-16,3.648732621306911e-18,ZTF_r,P48,GeneralFilters
59118.46,18.743,0.034,1.508091253569264e-16,4.722611477506876e-18,ZTF_g,P48,GeneralFilters
59118.466,18.836,0.032,1.384291719918703e-16,4.0799353326590646e-18,ZTF_g,P48,GeneralFilters
59118.469,18.83,0.033,1.3919627750539396e-16,4.230748811311202e-18,ZTF_g,P48,GeneralFilters
59119.346,18.731,0.053,1.524851745363142e-16,7.443533903546141e-18,ZTF_g,P48,GeneralFilters
59119.348,18.795,0.046,1.4375654323322375e-16,6.0906147918328215e-18,ZTF_g,P48,GeneralFilters
59119.467,17.615,0.015,2.404459343497446e-16,3.321883344628482e-18,ZTF_r,P48,GeneralFilters
59120.292,18.765,0.07,1.4778406940607716e-16,9.527991065500061e-18,ZTF_g,P48,GeneralFilters
59120.309,18.831,0.066,1.390681320181966e-16,8.453707883164565e-18,ZTF_g,P48,GeneralFilters
59121.303,18.683,0.059,1.59377724226397e-16,8.66074621823282e-18,ZTF_g,P48,GeneralFilters
59121.313,18.807,0.06,1.4217643528469465e-16,7.85696017107768e-18,ZTF_g,P48,GeneralFilters
59121.461,17.637,0.019,2.3562286808740333e-16,4.123316947561836e-18,ZTF_r,P48,GeneralFilters
59121.497,18.743,0.032,1.508091253569264e-16,4.444810802359412e-18,ZTF_g,P48,GeneralFilters
59122.309,18.721,0.084,1.5389610248468225e-16,1.1906458080757407e-17,ZTF_g,P48,GeneralFilters
59122.309,18.923,0.09,1.2776962530495378e-16,1.059121564432637e-17,ZTF_g,P48,GeneralFilters
59122.388,17.572,0.022,2.5015975222281765e-16,5.068924223751017e-18,ZTF_r,P48,GeneralFilters
59122.389,17.618,0.021,2.397824747063013e-16,4.637804235287581e-18,ZTF_r,P48,GeneralFilters
59123.333,17.635,0.032,2.360573014553795e-16,6.957337899821537e-18,ZTF_r,P48,GeneralFilters
59123.34,17.669,0.03,2.2877967466788103e-16,6.321416021643485e-18,ZTF_r,P48,GeneralFilters
59123.365,17.604,0.026,2.428943641722593e-16,5.816563397999238e-18,ZTF_r,P48,GeneralFilters
59123.406,18.921,0.097,1.2800520256066267e-16,1.1436023404184344e-17,ZTF_g,P48,GeneralFilters
59123.414,18.632,0.083,1.6704274618600543e-16,1.2769720557054714e-17,ZTF_g,P48,GeneralFilters
59124.29,17.615,0.03,2.404459343497446e-16,6.643766689256964e-18,ZTF_r,P48,GeneralFilters
59124.314,17.594,0.029,2.451418380526136e-16,6.547735326841649e-18,ZTF_r,P48,GeneralFilters
59125.402,18.707,0.066,1.5589336129503e-16,9.476484067107296e-18,ZTF_g,P48,GeneralFilters
59125.407,18.92,0.092,1.2812315401947506e-16,1.0856532294064523e-17,ZTF_g,P48,GeneralFilters
59125.479,17.584,0.022,2.4741010755274372e-16,5.013208864461612e-18,ZTF_r,P48,GeneralFilters
59125.479,17.566,0.022,2.5154601295406754e-16,5.097013676745083e-18,ZTF_r,P48,GeneralFilters
59129.364,18.815,0.063,1.4113269061488088e-16,8.189244744507929e-18,ZTF_g,P48,GeneralFilters
59129.427,18.885,0.063,1.323206486557372e-16,7.677924737868062e-18,ZTF_g,P48,GeneralFilters
59129.469,17.541,0.018,2.57405272292061e-16,4.267422308431956e-18,ZTF_r,P48,GeneralFilters
59129.469,17.566,0.019,2.5154601295406754e-16,4.401966357188935e-18,ZTF_r,P48,GeneralFilters
59131.351,18.853,0.075,1.3627858676130668e-16,9.413791271126416e-18,ZTF_g,P48,GeneralFilters
59131.352,19.05,0.075,1.1366522636964304e-16,7.851715674916e-18,ZTF_g,P48,GeneralFilters
59131.44,17.502,0.055,2.6681942140877943e-16,1.3516237289657342e-17,ZTF_r,P48,GeneralFilters
59134.384,18.971,0.045,1.2224401941760486e-16,5.066590622735729e-18,ZTF_g,P48,GeneralFilters
59134.387,18.993,0.047,1.1979194632508032e-16,5.1856256175347985e-18,ZTF_g,P48,GeneralFilters
59134.428,17.668,0.018,2.2899048560238998e-16,3.796344565815822e-18,ZTF_r,P48,GeneralFilters
59134.454,17.712,0.021,2.1989605500869157e-16,4.253166777478172e-18,ZTF_r,P48,GeneralFilters
59136.39,18.983,0.036,1.209003675573302e-16,4.0087207306801366e-18,ZTF_g,P48,GeneralFilters
59136.398,19.052,0.039,1.1345604001188544e-16,4.075378108487453e-18,ZTF_g,P48,GeneralFilters
59136.471,17.625,0.016,2.382415127733159e-16,3.510856677402795e-18,ZTF_r,P48,GeneralFilters
59136.472,17.596,0.015,2.4469068575323345e-16,3.3805267524593157e-18,ZTF_r,P48,GeneralFilters
59138.345,17.694,0.017,2.2357201348361507e-16,3.500596381114638e-18,ZTF_r,P48,GeneralFilters
59139.375,17.643,0.018,2.3432435921589246e-16,3.8847727904824436e-18,ZTF_r,P48,GeneralFilters
59139.407,19.116,0.06,1.0696153360899193e-16,5.9109127874843154e-18,ZTF_g,P48,GeneralFilters
59140.37,17.607,0.014,2.42224148605155e-16,3.1233535969518652e-18,ZTF_r,P48,GeneralFilters
59140.402,19.013,0.039,1.176054968950075e-16,4.224427958471789e-18,ZTF_g,P48,GeneralFilters
59141.337,17.647,0.017,2.334626646482541e-16,3.655460029450218e-18,ZTF_r,P48,GeneralFilters
59141.415,19.086,0.04,1.0995819982264638e-16,4.051009788225377e-18,ZTF_g,P48,GeneralFilters
59142.366,17.61,0.015,2.415557823559957e-16,3.337216461476572e-18,ZTF_r,P48,GeneralFilters
59142.403,19.078,0.044,1.1077139401930717e-16,4.489065866542866e-18,ZTF_g,P48,GeneralFilters
59143.32,17.692,0.017,2.2398422789892713e-16,3.507050660735785e-18,ZTF_r,P48,GeneralFilters
59143.39,19.064,0.035,1.122089817104025e-16,3.617190200209802e-18,ZTF_g,P48,GeneralFilters
59144.385,18.963,0.034,1.2314807320647392e-16,3.856401279307862e-18,ZTF_g,P48,GeneralFilters
59144.419,17.619,0.015,2.395617285585357e-16,3.3096675901846212e-18,ZTF_r,P48,GeneralFilters
59145.344,17.665,0.015,2.296240846430028e-16,3.172373965748288e-18,ZTF_r,P48,GeneralFilters
59145.417,19.079,0.037,1.1066941676453763e-16,3.771421089527072e-18,ZTF_g,P48,GeneralFilters
59146.385,17.406,0.158,2.914858238422775e-16,4.241800168885362e-17,ZTF_r,P48,GeneralFilters
59149.374,17.661,0.022,2.3047161127701004e-16,4.669988369065904e-18,ZTF_r,P48,GeneralFilters
59149.455,19.067,0.054,1.1189936478467634e-16,5.565408680203891e-18,ZTF_g,P48,GeneralFilters
