MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
58898.338,20.293,0.122,2.040879851168317e-17,2.293258166683332e-18,ZTF_r,P48,GeneralFilters
58898.339,20.406,0.137,1.8391512136514475e-17,2.320671588237021e-18,ZTF_r,P48,GeneralFilters
58898.357,20.345,0.106,1.9454381945649268e-17,1.899323682126095e-18,ZTF_r,P48,GeneralFilters
58899.296,20.419,0.166,1.817261551197335e-17,2.7784411736178584e-18,ZTF_r,P48,GeneralFilters
58899.332,20.468,0.164,1.737070472730158e-17,2.6238376898485104e-18,ZTF_r,P48,GeneralFilters
58899.335,20.424,0.124,1.808911992806471e-17,2.0659261994304605e-18,ZTF_r,P48,GeneralFilters
58900.27,20.19,0.165,2.243972023410496e-17,3.410178109932459e-18,ZTF_r,P48,GeneralFilters
58900.402,20.308,0.15,2.0128779298453878e-17,2.7808936291672226e-18,ZTF_r,P48,GeneralFilters
58900.402,20.372,0.135,1.8976557821108644e-17,2.3595375143821143e-18,ZTF_r,P48,GeneralFilters
58900.419,20.206,0.224,2.2111460940565867e-17,4.5618514230076095e-18,ZTF_r,P48,GeneralFilters
58901.378,20.405,0.159,1.840845914837706e-17,2.6958159742347272e-18,ZTF_r,P48,GeneralFilters
58904.227,20.343,0.192,1.949025126826276e-17,3.4466274838279785e-18,ZTF_r,P48,GeneralFilters
58904.247,20.495,0.204,1.6944058339759425e-17,3.1836351096728422e-18,ZTF_r,P48,GeneralFilters
58904.248,20.313,0.184,2.003629595835431e-17,3.3955563424897288e-18,ZTF_r,P48,GeneralFilters
58905.247,20.366,0.21,1.9081716451495616e-17,3.6907311713960556e-18,ZTF_r,P48,GeneralFilters
58905.248,20.333,0.214,1.967059234285401e-17,3.877099007035966e-18,ZTF_r,P48,GeneralFilters
58906.447,20.381,0.223,1.8819905486741694e-17,3.8654314972192825e-18,ZTF_r,P48,GeneralFilters
58909.317,20.746,0.236,1.3446753327365367e-17,2.9228405310157045e-18,ZTF_r,P48,GeneralFilters
58909.318,20.439,0.181,1.7840927898172935e-17,2.974210434742444e-18,ZTF_r,P48,GeneralFilters
58912.4,20.368,0.179,1.9046598985127575e-17,3.1401193065099437e-18,ZTF_r,P48,GeneralFilters
58912.421,20.317,0.167,1.9962615324208196e-17,3.0705034469080997e-18,ZTF_r,P48,GeneralFilters
58913.222,20.019,0.199,2.6267421199480653e-17,4.814444609831467e-18,ZTF_r,P48,GeneralFilters
58922.41,20.532,0.265,1.752740259987416e-17,4.277983610209785e-18,ps_r,PAN_STARRS1,GeneralFilters
58922.41,20.762,0.244,9.566840087376176e-18,2.1499780251316236e-18,ps_i,PAN_STARRS1,GeneralFilters
58929.35,20.774,0.217,9.46168563858112e-18,1.891053991360162e-18,ps_i,PAN_STARRS1,GeneralFilters
58957.38,20.541,0.152,1.1726502882780248e-17,1.6416772604351632e-18,ps_i,PAN_STARRS1,GeneralFilters
58961.27,21.525,0.208,1.1563226373508969e-17,2.2152260145231715e-18,ps_g,PAN_STARRS1,GeneralFilters
58961.27,21.198,0.128,9.49112214210222e-18,1.1189307576417429e-18,ps_r,PAN_STARRS1,GeneralFilters
58962.253,21.087,0.266,9.822395975110822e-18,2.406438431296039e-18,ZTF_r,P48,GeneralFilters
58986.29,21.425,0.148,7.700475836335736e-18,1.0496752514866856e-18,ps_r,PAN_STARRS1,GeneralFilters
58986.29,21.83,0.25,8.731302361372586e-18,2.010456665972023e-18,ps_g,PAN_STARRS1,GeneralFilters
58991.31,21.236,0.208,9.16468542241664e-18,1.755725340564948e-18,ps_r,PAN_STARRS1,GeneralFilters
58994.26,21.08,0.157,7.137868038420239e-18,1.0321524483763716e-18,ps_i,PAN_STARRS1,GeneralFilters
