MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58790.135000000155	nan	nan	1.6505135764588613e-17	1.0165003160091542e-18	nan	nan	nan	nan	nan	nan	nan	nan
58790.18500000016	nan	nan	1.6584089841690993e-17	1.010822722946758e-18	nan	nan	nan	nan	nan	nan	nan	nan
58790.23500000016	nan	nan	1.6663116948308877e-17	1.0053340719902769e-18	nan	nan	nan	nan	nan	nan	nan	nan
58790.28500000016	nan	nan	1.674221440222566e-17	1.000033299487601e-18	nan	nan	nan	nan	nan	nan	nan	nan
58790.33500000017	nan	nan	1.6821379521334717e-17	9.949192758093058e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.38500000017	nan	nan	1.690060962363395e-17	9.8999080573442e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.43500000017	nan	nan	1.6979902027221302e-17	9.85246628994755e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.485000000175	nan	nan	1.7059254050289973e-17	9.80685420968787e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.53500000018	nan	nan	1.7138663011123793e-17	9.763057935349843e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.58500000018	nan	nan	1.721812622809257e-17	9.721062960746943e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.635000000184	nan	nan	1.7297641019647067e-17	9.680854166291062e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.68500000019	nan	nan	1.73772047043149e-17	9.642415832024086e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.73500000019	nan	nan	1.745681460069548e-17	9.605731652107858e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.78500000019	nan	nan	1.753646802745406e-17	9.570784750702235e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.835000000196	nan	nan	1.7616162303319767e-17	9.537557699195351e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.8850000002	nan	nan	1.769589474707881e-17	9.506032534684753e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.9350000002	nan	nan	1.7775662677569598e-17	9.476190779684891e-19	nan	nan	nan	nan	nan	nan	nan	nan
58790.985000000204	nan	nan	1.7855463413680754e-17	9.44801346294296e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.03500000021	nan	nan	1.7935294274342228e-17	9.421481141280896e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.08500000021	nan	nan	1.80151525785233e-17	9.396573922406719e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.13500000021	nan	nan	1.8095035645229035e-17	9.37327148853836e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.185000000216	nan	nan	1.8174940793491367e-17	9.351553120776522e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.23500000022	nan	nan	1.8254865342368594e-17	9.331397724135414e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.28500000022	nan	nan	1.8334806610938076e-17	9.312783853059685e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.335000000225	nan	nan	1.841476191829333e-17	9.295689737392391e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.38500000023	nan	nan	1.8494728583538456e-17	9.280093308623314e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.43500000023	nan	nan	1.8574703925781382e-17	9.265972226321591e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.48500000023	nan	nan	1.865468526413454e-17	9.253303904669146e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.535000000236	nan	nan	1.8734669962869647e-17	9.242064956415874e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.58500000024	nan	nan	1.881465585252656e-17	9.232225790208904e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.63500000024	nan	nan	1.889464103871114e-17	9.223753118115511e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.685000000245	nan	nan	1.8974623630567155e-17	9.216613507281606e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.73500000025	nan	nan	1.905460173722136e-17	9.210773474969592e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.78500000025	nan	nan	1.913457346777799e-17	9.20619953670806e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.835000000254	nan	nan	1.9214536931315416e-17	9.202858253162652e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.88500000026	nan	nan	1.9294490236884968e-17	9.200716275656669e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.93500000026	nan	nan	1.9374431493503376e-17	9.19974039019955e-19	nan	nan	nan	nan	nan	nan	nan	nan
58791.98500000026	nan	nan	1.9454358810154482e-17	9.199897559844237e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.035000000265	nan	nan	1.953427029578118e-17	9.201154965410265e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.08500000027	nan	nan	1.9614164059285924e-17	9.203480044328142e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.13500000027	nan	nan	1.9694038209525845e-17	9.206840527701815e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.185000000274	nan	nan	1.9773890855307683e-17	9.211204475380736e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.23500000028	nan	nan	1.985372010538784e-17	9.21654030910705e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.28500000028	nan	nan	1.9933524068465962e-17	9.222816843663262e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.33500000028	nan	nan	2.001330085318445e-17	9.230003315986988e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.385000000286	nan	nan	2.009304856812247e-17	9.238069412307625e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.43500000029	nan	nan	2.0172765321793858e-17	9.24698529321519e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.48500000029	nan	nan	2.0252449222644442e-17	9.25672161676464e-19	nan	nan	nan	nan	nan	nan	nan	nan
