#wls	flux	flux_err
3956.1950	1.0358e-15	3.7830e-17
3958.4826	1.0342e-15	3.7741e-17
3960.7702	1.0336e-15	3.7728e-17
3963.0578	1.0332e-15	3.7072e-17
3965.3455	1.0336e-15	3.6999e-17
3967.6331	1.0350e-15	3.7093e-17
3969.9207	1.0362e-15	3.7783e-17
3972.2083	1.0374e-15	3.8211e-17
3974.4959	1.0393e-15	3.7374e-17
3976.7836	1.0406e-15	3.5524e-17
3979.0712	1.0421e-15	3.2934e-17
3981.3588	1.0444e-15	2.8527e-17
3983.6464	1.0471e-15	2.4165e-17
3985.9341	1.0498e-15	1.9480e-17
3988.2217	1.0527e-15	1.4996e-17
3990.5093	1.0551e-15	1.3089e-17
3992.7969	1.0566e-15	1.4314e-17
3995.0845	1.0589e-15	1.8272e-17
3997.3722	1.0615e-15	2.0660e-17
3999.6598	1.0647e-15	2.2848e-17
4001.9474	1.0686e-15	2.3064e-17
4004.2350	1.0728e-15	2.2844e-17
4006.5226	1.0763e-15	2.2352e-17
4008.8103	1.0802e-15	2.1633e-17
4011.0979	1.0839e-15	2.0414e-17
4013.3855	1.0881e-15	1.9871e-17
4015.6731	1.0932e-15	1.8291e-17
4017.9608	1.0983e-15	1.7145e-17
4020.2484	1.1031e-15	1.6522e-17
4022.5360	1.1085e-15	1.7864e-17
4024.8236	1.1146e-15	1.8490e-17
4027.1112	1.1204e-15	1.8798e-17
4029.3989	1.1271e-15	1.8883e-17
4031.6865	1.1338e-15	1.9243e-17
4033.9741	1.1401e-15	1.9596e-17
4036.2617	1.1459e-15	1.9605e-17
4038.5494	1.1526e-15	1.9890e-17
4040.8370	1.1589e-15	1.9497e-17
4043.1246	1.1653e-15	1.8454e-17
4045.4122	1.1719e-15	1.6878e-17
4047.6998	1.1778e-15	1.4436e-17
4049.9875	1.1826e-15	1.4815e-17
4052.2751	1.1864e-15	1.4809e-17
4054.5627	1.1888e-15	1.4923e-17
4056.8503	1.1890e-15	1.7283e-17
4059.1379	1.1878e-15	2.0243e-17
4061.4256	1.1856e-15	2.3501e-17
4063.7132	1.1825e-15	2.7370e-17
4066.0008	1.1788e-15	2.8097e-17
4068.2884	1.1748e-15	2.7730e-17
4070.5761	1.1700e-15	2.6493e-17
4072.8637	1.1643e-15	2.5924e-17
4075.1513	1.1580e-15	2.5385e-17
4077.4389	1.1510e-15	2.5013e-17
4079.7265	1.1441e-15	2.3849e-17
4082.0142	1.1374e-15	2.2965e-17
4084.3018	1.1302e-15	2.2616e-17
4086.5894	1.1229e-15	2.2703e-17
4088.8770	1.1151e-15	2.3184e-17
4091.1647	1.1068e-15	2.3216e-17
4093.4523	1.0980e-15	2.3451e-17
4095.7399	1.0888e-15	2.5595e-17
4098.0275	1.0790e-15	2.8168e-17
4100.3151	1.0688e-15	2.9578e-17
4102.6028	1.0589e-15	3.1206e-17
4104.8904	1.0490e-15	3.0903e-17
4107.1780	1.0393e-15	2.9158e-17
4109.4656	1.0294e-15	2.6024e-17
4111.7532	1.0202e-15	2.2584e-17
4114.0409	1.0105e-15	1.9770e-17
4116.3285	1.0011e-15	2.0435e-17
4118.6161	9.9204e-16	2.0504e-17
4120.9037	9.8399e-16	2.0521e-17
4123.1914	9.7653e-16	2.2413e-17
4125.4790	9.7039e-16	2.4338e-17
4127.7666	9.6496e-16	2.8293e-17
4130.0542	9.6040e-16	3.2208e-17
4132.3418	9.5694e-16	3.3159e-17
4134.6295	9.5385e-16	3.3288e-17
4136.9171	9.5139e-16	3.3353e-17
4139.2047	9.4974e-16	3.3306e-17
4141.4923	9.4888e-16	3.3280e-17
4143.7800	9.4861e-16	3.2705e-17
4146.0676	9.4933e-16	3.1819e-17
4148.3552	9.5040e-16	3.1617e-17
4150.6428	9.5198e-16	3.1275e-17
4152.9304	9.5435e-16	3.1796e-17
4155.2181	9.5758e-16	3.2108e-17
4157.5057	9.6160e-16	3.2083e-17
4159.7933	9.6588e-16	3.0449e-17
4162.0809	9.7092e-16	3.0398e-17
4164.3685	9.7593e-16	2.9508e-17
4166.6562	9.8087e-16	2.8203e-17
4168.9438	9.8647e-16	2.8315e-17
4171.2314	9.9320e-16	2.8432e-17
4173.5190	9.9975e-16	2.8070e-17
4175.8067	1.0064e-15	2.6050e-17
4178.0943	1.0125e-15	2.4243e-17
4180.3819	1.0176e-15	2.4701e-17
4182.6695	1.0221e-15	2.4932e-17
4184.9571	1.0263e-15	2.4895e-17
4187.2448	1.0300e-15	2.4726e-17
4189.5324	1.0340e-15	2.5990e-17
4191.8200	1.0383e-15	2.7896e-17
4194.1076	1.0421e-15	2.8534e-17
4196.3953	1.0452e-15	2.8058e-17
4198.6829	1.0475e-15	2.7127e-17
4200.9705	1.0488e-15	2.5379e-17
4203.2581	1.0495e-15	2.4564e-17
4205.5457	1.0499e-15	2.4868e-17
4207.8334	1.0493e-15	2.4870e-17
4210.1210	1.0483e-15	2.4334e-17
4212.4086	1.0468e-15	2.3410e-17
4214.6962	1.0447e-15	2.2944e-17
4216.9838	1.0421e-15	2.2410e-17
4219.2715	1.0400e-15	2.1485e-17
4221.5591	1.0379e-15	2.0786e-17
4223.8467	1.0352e-15	2.0579e-17
4226.1343	1.0320e-15	1.9363e-17
4228.4220	1.0278e-15	1.7390e-17
4230.7096	1.0230e-15	1.6277e-17
4232.9972	1.0183e-15	1.6221e-17
4235.2848	1.0144e-15	1.6061e-17
4237.5724	1.0104e-15	1.5060e-17
4239.8601	1.0073e-15	1.2964e-17
4242.1477	1.0041e-15	1.1444e-17
4244.4353	9.9993e-16	1.0937e-17
4246.7229	9.9527e-16	1.1784e-17
4249.0106	9.9038e-16	1.3502e-17
4251.2982	9.8469e-16	1.3789e-17
4253.5858	9.7884e-16	1.3732e-17
4255.8734	9.7405e-16	1.4898e-17
4258.1610	9.6956e-16	1.7813e-17
4260.4487	9.6506e-16	1.7960e-17
4262.7363	9.6061e-16	1.7099e-17
4265.0239	9.5613e-16	1.6715e-17
4267.3115	9.5155e-16	1.7116e-17
4269.5991	9.4734e-16	1.7644e-17
4271.8868	9.4347e-16	1.7862e-17
4274.1744	9.4022e-16	1.7773e-17
4276.4620	9.3769e-16	1.7829e-17
4278.7496	9.3563e-16	1.7943e-17
4281.0373	9.3336e-16	1.8254e-17
4283.3249	9.3139e-16	1.8196e-17
4285.6125	9.2932e-16	1.8306e-17
4287.9001	9.2677e-16	1.8105e-17
4290.1877	9.2371e-16	1.7979e-17
4292.4754	9.2036e-16	1.7888e-17
4294.7630	9.1685e-16	1.7707e-17
4297.0506	9.1339e-16	1.8239e-17
4299.3382	9.1016e-16	1.9137e-17
4301.6259	9.0632e-16	1.9326e-17
4303.9135	9.0193e-16	1.8433e-17
4306.2011	8.9752e-16	1.5270e-17
4308.4887	8.9369e-16	1.3963e-17
4310.7763	8.9016e-16	1.3840e-17
4313.0640	8.8780e-16	1.4131e-17
4315.3516	8.8582e-16	1.3972e-17
4317.6392	8.8345e-16	1.3759e-17
4319.9268	8.8017e-16	1.4492e-17
4322.2144	8.7656e-16	1.4798e-17
4324.5021	8.7291e-16	1.5037e-17
4326.7897	8.6933e-16	1.5713e-17
