#wls	flux	fluxerr	mangling_mask
3.823030E+03	6.390138E-16	4.103751E-17	5.907496E-01
3.827470E+03	6.490907E-16	4.273725E-17	5.907269E-01
3.831900E+03	6.545594E-16	4.566138E-17	5.907042E-01
3.836340E+03	6.579601E-16	5.093179E-17	5.906814E-01
3.840780E+03	6.626599E-16	7.265079E-17	5.906586E-01
3.845220E+03	6.631067E-16	8.444082E-17	5.906357E-01
3.849660E+03	6.646166E-16	8.279800E-17	5.906128E-01
3.854090E+03	6.648270E-16	7.946271E-17	5.905898E-01
3.858530E+03	6.645058E-16	7.316752E-17	5.905668E-01
3.862970E+03	6.655427E-16	8.048482E-17	5.905437E-01
3.867410E+03	6.694731E-16	8.418725E-17	5.905205E-01
3.871840E+03	6.728127E-16	8.697307E-17	5.904974E-01
3.876280E+03	6.791043E-16	9.908162E-17	5.904741E-01
3.880720E+03	6.859267E-16	1.080629E-16	5.904508E-01
3.885160E+03	6.929257E-16	1.130287E-16	5.904275E-01
3.889600E+03	6.988613E-16	1.036882E-16	5.904041E-01
3.894030E+03	7.034976E-16	8.530864E-17	5.903806E-01
3.898470E+03	7.066575E-16	8.226052E-17	5.903571E-01
3.902910E+03	7.085774E-16	7.598327E-17	5.903336E-01
3.907350E+03	7.094345E-16	7.291586E-17	5.903099E-01
3.911790E+03	7.061594E-16	7.674197E-17	5.902863E-01
3.916220E+03	7.068985E-16	8.813899E-17	5.902626E-01
3.920660E+03	7.089358E-16	9.312354E-17	5.902388E-01
3.925100E+03	7.143372E-16	9.286936E-17	5.902150E-01
3.929540E+03	7.190888E-16	8.280987E-17	5.901911E-01
3.933980E+03	7.269679E-16	6.999535E-17	5.901671E-01
3.938410E+03	7.334299E-16	6.269979E-17	5.901432E-01
3.942850E+03	7.413667E-16	7.211681E-17	5.901191E-01
3.947290E+03	7.507779E-16	8.681683E-17	5.900950E-01
3.951730E+03	7.623125E-16	9.339510E-17	5.900709E-01
3.956170E+03	7.753803E-16	9.686790E-17	5.900466E-01
3.960600E+03	7.900990E-16	9.656402E-17	5.900224E-01
3.965040E+03	7.998014E-16	8.869703E-17	5.899981E-01
3.969480E+03	8.047832E-16	8.162976E-17	5.899737E-01
3.973920E+03	8.108263E-16	7.180251E-17	5.899493E-01
3.978360E+03	8.129164E-16	7.148407E-17	5.899248E-01
3.982790E+03	8.124108E-16	7.620054E-17	5.899003E-01
3.987230E+03	8.127308E-16	7.637308E-17	5.898758E-01
3.991670E+03	8.106324E-16	7.232169E-17	5.898511E-01
3.996110E+03	8.064697E-16	6.328740E-17	5.898264E-01
4.000550E+03	8.046074E-16	5.893742E-17	5.898017E-01
4.004980E+03	8.036300E-16	4.998918E-17	5.897769E-01
4.009420E+03	8.064269E-16	4.739982E-17	5.897520E-01
4.013860E+03	8.098133E-16	4.503857E-17	5.897271E-01
4.018300E+03	8.110174E-16	4.533312E-17	5.897022E-01
4.022740E+03	8.091550E-16	5.309198E-17	5.896771E-01
4.027170E+03	8.068799E-16	5.336752E-17	5.896521E-01
4.031610E+03	8.047229E-16	5.368566E-17	5.896270E-01
4.036050E+03	8.090516E-16	5.451813E-17	5.896018E-01
4.040490E+03	8.114342E-16	5.467615E-17	5.895765E-01
4.044930E+03	8.152904E-16	5.633010E-17	5.895512E-01
4.049360E+03	8.159039E-16	5.069542E-17	5.895259E-01
4.053800E+03	8.176372E-16	4.915079E-17	5.895005E-01
4.058240E+03	8.196061E-16	4.470509E-17	5.894750E-01
