#wls	flux	flux_err
4507.3383	1.5930e-16	2.5244e-17
4514.1100	1.5616e-16	2.5147e-17
4520.8818	1.5446e-16	2.8975e-17
4526.6863	1.5032e-16	3.1741e-17
4532.4908	1.4973e-16	3.1691e-17
4538.2954	1.4698e-16	2.7203e-17
4544.1001	1.4454e-16	2.3860e-17
4550.8722	1.4003e-16	2.3856e-17
4557.6445	1.3649e-16	2.4752e-17
4563.4494	1.3398e-16	2.7459e-17
4569.2543	1.2997e-16	2.6581e-17
4575.0593	1.2393e-16	2.1848e-17
4580.8643	1.1744e-16	2.3400e-17
4587.6370	1.1300e-16	2.1166e-17
4594.4097	1.0861e-16	2.0869e-17
4600.2150	1.0284e-16	2.0398e-17
4606.0204	9.8693e-17	1.7897e-17
4611.8258	9.9776e-17	1.5471e-17
4617.6313	1.0182e-16	1.2011e-17
4624.4044	1.0285e-16	1.2369e-17
4631.1776	1.0837e-16	1.1997e-17
4636.9834	1.1322e-16	1.0251e-17
4642.7891	1.1628e-16	1.1124e-17
4648.5950	1.1874e-16	1.5606e-17
4654.4009	1.2396e-16	1.3878e-17
4661.1746	1.2888e-16	1.4534e-17
4667.9483	1.3278e-16	1.6063e-17
4673.7545	1.3436e-16	1.5334e-17
4679.5607	1.3949e-16	1.5562e-17
4685.3670	1.4245e-16	1.6220e-17
4691.1733	1.4497e-16	1.5888e-17
4696.9798	1.4670e-16	1.1388e-17
4703.7541	1.4554e-16	1.3505e-17
4710.5284	1.4416e-16	1.8546e-17
4716.3351	1.4241e-16	1.6342e-17
4722.1419	1.3891e-16	1.6551e-17
4727.9487	1.3761e-16	1.7759e-17
4733.7556	1.3492e-16	1.9812e-17
4740.5304	1.3158e-16	1.9781e-17
4747.3054	1.2796e-16	1.9870e-17
4753.1125	1.2743e-16	1.9874e-17
4758.9197	1.2880e-16	1.6520e-17
4764.7271	1.2962e-16	1.6152e-17
4770.5344	1.2951e-16	1.6088e-17
4777.3098	1.3075e-16	1.6043e-17
4784.0853	1.3200e-16	1.3137e-17
4789.8930	1.3359e-16	1.3533e-17
4795.7007	1.3362e-16	1.3819e-17
4801.5085	1.3604e-16	1.0931e-17
4807.3164	1.4032e-16	8.7410e-18
4814.0924	1.4292e-16	1.1383e-17
4820.8684	1.4720e-16	1.1584e-17
4826.6766	1.4763e-16	1.2943e-17
4832.4848	1.4034e-16	1.2886e-17
4838.2931	1.3553e-16	1.2700e-17
4844.1015	1.3258e-16	1.2086e-17
4849.9100	1.3086e-16	1.1777e-17
4856.6867	1.3254e-16	1.2025e-17
4863.4634	1.3359e-16	8.3699e-18
4869.2722	1.3473e-16	8.2073e-18
4875.0810	1.3783e-16	1.2614e-17
4880.8899	1.3856e-16	1.3375e-17
4886.6989	1.4047e-16	1.3574e-17
4893.4762	1.4320e-16	1.3521e-17
4900.2536	1.4466e-16	2.8744e-17
4906.0629	1.4916e-16	3.5504e-17
4911.8723	1.5286e-16	3.8591e-17
4917.6817	1.5606e-16	4.0140e-17
4923.4913	1.6136e-16	3.8671e-17
4930.2692	1.6450e-16	4.0444e-17
4937.0472	1.6605e-16	4.0628e-17
4942.8571	1.7030e-16	4.0640e-17
4948.6670	1.7552e-16	3.1373e-17
4954.4770	1.7920e-16	1.6986e-17
4960.2871	1.8298e-16	1.5904e-17
4967.0657	1.8928e-16	1.5454e-17
4973.8444	1.9465e-16	1.5366e-17
4979.6548	2.0015e-16	9.1877e-18
4985.4653	2.0576e-16	7.9941e-18
4991.2758	2.1215e-16	8.3412e-18
4997.0865	2.1852e-16	9.9942e-18
5002.8973	2.2505e-16	1.0120e-17
5009.6766	2.3208e-16	1.0100e-17
5016.4561	2.4001e-16	9.7613e-18
5022.2672	2.4234e-16	9.5426e-18
5028.0783	2.4069e-16	1.2932e-17
5033.8896	2.4303e-16	1.3090e-17
5039.7010	2.4443e-16	1.4752e-17
5046.4810	2.4469e-16	1.3925e-17
5053.2612	2.4800e-16	1.5987e-17
5059.0728	2.5091e-16	1.6314e-17
5064.8846	2.5399e-16	1.5960e-17
5070.6964	2.5795e-16	1.7740e-17
5076.5084	2.6073e-16	1.3923e-17
5083.2891	2.6411e-16	1.4384e-17
5090.0700	2.6697e-16	1.3501e-17
5095.8823	2.6855e-16	1.3753e-17
5101.6947	2.6915e-16	1.1617e-17
5107.5071	2.6886e-16	1.0585e-17
5113.3197	2.6780e-16	1.2298e-17
5119.1324	2.6594e-16	1.0349e-17
5125.9140	2.6113e-16	1.2216e-17
5132.6957	2.5656e-16	1.0605e-17
5138.5087	2.5316e-16	1.1460e-17
5144.3218	2.4673e-16	1.1656e-17
5150.1350	2.3692e-16	1.1465e-17
5155.9483	2.2722e-16	1.2298e-17
5162.7306	2.2016e-16	8.1158e-18
5169.5131	2.1179e-16	7.8351e-18
5175.3267	2.0729e-16	9.5967e-18
5181.1405	2.0380e-16	1.0339e-17
5186.9543	1.9931e-16	1.0003e-17
5192.7683	1.9513e-16	9.9432e-18
5199.5514	1.9394e-16	9.7020e-18
5206.3346	1.9272e-16	9.8679e-18
5212.1489	1.9237e-16	9.8404e-18
5217.9633	1.9156e-16	1.3044e-17
5223.7778	1.9168e-16	1.3964e-17
5229.5924	1.9234e-16	1.2808e-17
5235.4072	1.9141e-16	1.4798e-17
5242.1911	1.8976e-16	1.4818e-17
5248.9753	1.8843e-16	1.6365e-17
5254.7903	1.8581e-16	1.5581e-17
5260.6055	1.8298e-16	1.5782e-17
5266.4208	1.7944e-16	1.4945e-17
5272.2362	1.7477e-16	1.2189e-17
5279.0210	1.7074e-16	1.6336e-17
5285.8059	1.6669e-16	1.4975e-17
5291.6217	1.6213e-16	1.4988e-17
5297.4376	1.5706e-16	1.4170e-17
5303.2536	1.5404e-16	1.4661e-17
5309.0697	1.5138e-16	1.3624e-17
5314.8859	1.4941e-16	1.2557e-17
5321.6716	1.4836e-16	1.2530e-17
5328.4575	1.4941e-16	5.9306e-18
5334.2741	1.5155e-16	6.0248e-18
5340.0907	1.5246e-16	5.8591e-18
5345.9076	1.5311e-16	5.1016e-18
5351.7245	1.5419e-16	4.6364e-18
5358.5110	1.5672e-16	3.8620e-18
5365.2977	1.5853e-16	2.7944e-18
5371.1150	1.6160e-16	2.2994e-18
5376.9325	1.6351e-16	2.8513e-18
5382.7500	1.6416e-16	3.2772e-18
5388.5676	1.6620e-16	3.4557e-18
5394.3854	1.6768e-16	3.0144e-18
5401.1729	1.6657e-16	2.0829e-18
5407.9606	1.6577e-16	1.4534e-18
5413.7788	1.6411e-16	9.0206e-19
5419.5971	1.6328e-16	9.1148e-19
5425.4154	1.6248e-16	8.3284e-19
5431.2340	1.6178e-16	7.6053e-19
5438.0224	1.6128e-16	5.1877e-19
5444.8109	1.6108e-16	9.2735e-19
5450.6298	1.6122e-16	1.0711e-18
5456.4489	1.6174e-16	1.5108e-18
5462.2680	1.6033e-16	1.4958e-18
5468.0873	1.6085e-16	1.4587e-18
5473.9066	1.6591e-16	2.2858e-18
5480.6961	1.6485e-16	2.9414e-18
5487.4857	1.6721e-16	3.1471e-18
5493.3055	1.7374e-16	2.8884e-18
5499.1254	1.7652e-16	2.2930e-18
5504.9454	1.7733e-16	2.6216e-18
5510.7656	1.7890e-16	2.8991e-18
5517.5559	1.7875e-16	4.0314e-18
5524.3464	1.7796e-16	5.9481e-18
5530.1670	1.7841e-16	7.8080e-18
5535.9877	1.7640e-16	1.0068e-17
5541.8085	1.7230e-16	1.5264e-17
5547.6295	1.6858e-16	1.8656e-17
5553.4505	1.6331e-16	2.7983e-17
5560.2420	1.5573e-16	3.6101e-17
5567.0335	1.4823e-16	3.8708e-17
5572.8550	1.4107e-16	4.2369e-17
5578.6767	1.3653e-16	4.2136e-17
5584.4984	1.3516e-16	4.1102e-17
5590.3203	1.3285e-16	4.0254e-17
5597.1127	1.3189e-16	3.9836e-17
5603.9052	1.3134e-16	3.1830e-17
5609.7275	1.3500e-16	2.7777e-17
5615.5499	1.4078e-16	2.3999e-17
5621.3725	1.4592e-16	1.6541e-17
5627.1952	1.5169e-16	1.8949e-17
5633.0180	1.5652e-16	2.1274e-17
5639.8115	1.6374e-16	2.1262e-17
5646.6051	1.7057e-16	1.9473e-17
5652.4284	1.7569e-16	2.0619e-17
